Plot_ID,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Typology_ID
CmP1,12,0.923,0.6200000000000001,15.376254737931967,2.3716478540927537,25.19846108,1.549648755865329,0.7697257542664879,27.361904761904764,26.82952380952381,T2
CmP2,15,0.867,0.6736363636363637,13.297145443271011,2.5964430827197376,28.267052380909085,1.3721195030879645,0.6958913847091963,26.48888888888889,26.692222222222224,T1
CmP3,12,0.94,0.6368181818181818,13.503277749936744,2.627693105159757,28.226097846818185,1.6260822291125805,0.7872191061513764,27.5825,27.922000000000004,T2
CmP4,10,0.944,0.6514285714285714,11.214256528610726,2.245973054844591,28.12766154571429,1.4629370108766342,0.7221127461888238,23.11842105263158,24.054736842105264,T1
CmP5,7,0.871,0.7284615384615385,10.338381713408015,2.34015951886746,25.393196780384617,1.2468049033003985,0.8150730876406163,22.08863636363636,22.224545454545453,T1
CmP6,13,0.865,0.6904545454545455,10.900978752891293,2.512535536275062,23.48750858909091,1.4337041640080512,0.7747690508937245,21.857142857142858,21.92142857142857,T1
CmP7,16,0.938,0.6136666666666666,13.6672969376112,2.4021761023744457,25.86664642766667,1.610010364672139,0.804205026000928,24.66481481481481,25.582222222222224,T2
CmP8,11,0.893,0.6404166666666667,12.69955534296875,2.3007868231407635,23.669227017500003,1.5797608250239128,0.7495100519613326,26.307894736842105,27.13684210526316,T1
CmP9,13,0.873,0.6306666666666667,12.80698807907898,2.3727907046165715,22.903203852,1.624104638859433,0.7193996588076528,28.11458333333333,28.80625,T1
CmP10,13,0.881,0.6696875,12.250228786484378,2.3163835951790874,22.1469700221875,1.3742064055878451,0.7430578264842743,24.54,26.2408,T1
CsP1,11,0.97,0.53,12.355166573579424,1.9806053248699595,22.1852393715,1.8290436910347256,0.8475254609168981,39.57666666666667,38.87555555555556,T2
CsP2,10,0.934,0.6011764705882352,15.43824191382353,2.2527148354894457,23.327524133176468,1.585489648486885,0.780933513028226,35.815384615384616,35.47692307692308,T2
CsP4,13,0.946,0.5895238095238097,14.71670303787216,2.1573678344657297,23.29965977990476,1.703158438505631,0.7724094041281778,31.8375,32.284375,T2
CsP6,15,0.961,0.5632,14.60966942201894,2.284975548956336,23.32874908464,1.748561221878778,0.8545477254403343,40.33809523809524,38.96666666666666,T2
CsP7,9,0.923,0.6247368421052633,14.167188328053996,2.3143805726454763,24.270524517263155,1.4797042507397251,0.7562929405884304,36.73333333333333,35.78666666666666,T2
CsP9,6,0.951,0.4708333333333334,14.4402455437028,1.6823481823161013,32.76639843916667,1.6651187370902774,0.8373609114562419,46.635,43.75333333333333,T2
CsP10,10,0.962,0.615,15.144493302263127,2.525849451418161,25.574250183,1.580018149829522,0.7351237179262486,35.85,36.484375,T2
CuP1,8,0.791,0.69,9.959098939206354,2.059142228254354,27.532171741684213,1.5257145471226057,0.7048680075942797,22.14444444444445,22.55,T1
