Canonical_Species,Z_WD,Z_SLA,Z_Log10_Seed_Mass,Z_Max_Height
Amphimas tetracoides,0.6775519438010764,0.05989588989634782,0.019047764947271735,1.4103674739327896
Annonidium manni,-1.31779029474496,-0.10499902766272447,1.5562915207902208,-0.6142938643443342
Anthonotha macrophylla,0.4844543078127501,0.05989588989634782,2.16564838589535,-0.4879549964957453
Blighia sapida,0.9993813371149528,-0.4284068471795572,1.3968714955655772,-0.1643691224229672
Celtis zenkeri,0.5488201864755256,1.2648958222512752,-0.2337096405013224,0.06059324890674488
Cleistopholis patens,-1.7683514453843876,0.08460411386196276,1.109908908826811,0.06059324890674488
Diospyros dendo,1.1281130944405036,-2.0144944836008913,0.019047764947271735,-0.8392562349359896
Drypetes species,1.0637472157777281,-0.18674313543019957,0.019047764947271735,-0.8569832697144038
Funtumia elastica,-0.9315950227683079,-0.5541171375913775,-0.5792623747343408,0.557871129805933
Homalium aylmeri,1.0637472157777281,-0.4895757227270177,0.019047764947271735,1.3571863695975472
Irvinga gabonensis,1.5786742450799316,-0.7658605803794134,2.0173105759590637,0.7354803614197674
Lecaniodiscus cupanioides,0.8706495797894026,0.0612638278324016,0.4425341573610944,-0.8569832697144038
Lonchocarpus cilliata,1.0637472157777281,0.6667439438356177,0.019047764947271735,-0.8569832697144038
Margaritaria discoidea,0.8062837011266273,0.6173582269049602,-1.024175144071036,0.2855556194984001
Millettia thoningii,0.6775519438010764,0.05989588989634782,0.019047764947271735,-0.4879549964957453
Monodora tenuifolia,-0.09483860015222802,0.08460411386196276,0.8234877175719858,-1.064218605527645
Nesodogornia papaverifera,0.7419178224638519,0.12954206739017954,-0.5072504349787292,0.2855556194984001
Picralima nitida,1.3855766090916053,-0.9250705687611024,0.9974115683420193,-0.2768503077187948
Pycnanthus angolensis,-0.8028632654427573,-0.040053365917321164,1.1838860582197261,0.7354803614197674
Ricinodendron heudelotii,-1.8970832027099385,0.10386472254310299,1.1245095011730255,1.4103674739327896
Scotellia coricea,0.2913566718244238,0.45889084515847517,0.019047764947271735,1.7262146428162057
Sterculia rhinopetala,0.6775519438010764,-0.6650371141896926,0.6644800619556545,0.7354803614197674
Strombosia pustulata,1.3212107304288299,-0.5763022957003312,0.019047764947271735,1.4103674739327896
Trichilia gilgiana,-0.09483860015222802,0.3639447148797446,0.019047764947271735,-0.38933149301462244
Trichilia monadelpha,-0.35230211480332974,0.2417077412241989,0.6118968516482064,-0.6142938643443342
Uapaca heudelotii,0.2269907931616484,-0.15212853996060455,0.019047764947271735,0.06059324890674488
Alstonia boonei,-1.31779029474496,-0.5541171375913775,-0.6302687193837769,0.7354803614197674
Bombax buonopozense,-1.3821561734077354,1.3918625581865105,-0.5590706749620192,0.7354803614197674
Bosqueia angolensis,-0.09483860015222802,-0.20188559990522886,0.6733317352381263,0.2855556194984001
Dialium guinensis,1.2568448517660544,0.7125952465018592,0.019047764947271735,-0.6142938643443342
Ficus exasperata,-1.0603267800938587,-0.27368601116471347,-2.5600377437229884,-0.38933149301462244
Grewia pubescens,-0.15920447881500344,-0.8076335402434276,0.5348944339328514,-1.2891809767097455
Homalium alymeri,1.0637472157777281,-0.4895757227270177,0.019047764947271735,1.3571863695975472
Musanga cecropiodes,-2.0901808386982648,-0.4977576834825037,-2.079860082548545,-0.6142938643443342
Nesodogornia papaverivera,0.7419178224638519,0.12954206739017954,-0.5072504349787292,0.2855556194984001
Pavetta corymbosa,0.6775519438010764,0.38646583094905207,-0.5903897818849071,-1.5141433475966233
Ricinodendron heudeloti,-1.8970832027099385,0.10386472254310299,1.1245095011730255,1.4103674739327896
Sterculia tragacantha,-1.3821561734077354,-0.6650371141896926,0.8372671722937617,-0.1643691224229672
Strombosia postulata,1.3212107304288299,-0.5763022957003312,0.019047764947271735,1.4103674739327896
Baphia nitida,1.7074060024054825,0.05989588989634782,0.019047764947271735,-1.2891809767097455
Cola species,0.4200884291499747,0.0906655658348894,0.5348944339328514,-1.064218605527645
Diospyrous mespiliformis,0.8062837011266273,-2.0144944836008913,0.5476361086555741,0.06059324890674488
Garcinia kola,1.5143083664171562,-1.0504025235656798,1.457273696177292,0.0605686288164686
Hildegardia barteri,-1.5108879307332863,0.0906655658348894,0.4053088059100483,0.2501015499415717
Lecaniodiscus cupaniodes,0.8706495797894026,0.0612638278324016,0.4425341573610944,-0.8569832697144038
Maesobotrya barteri,0.35572255048719925,-0.15212853996060455,0.019047764947271735,-1.2891809767097455
Nauclea diderrichi,0.4844543078127501,1.4607913376913904,-1.9433307658170476,0.9881580963788887
Nesogordonia papaverifera,0.7419178224638519,0.12954206739017954,-0.5072504349787292,0.2855556194984001
Pterocarpus osun,0.526430374380168,1.6305322528597943,0.019047764947271735,0.2501015499415717
Rinorea dentata,0.613186065138301,0.9757760371817764,0.019047764947271735,-1.4016621621531844
