Z_WD,Z_SLA,Z_Log10_Seed_Mass,Z_Max_Height,N_Taxa,Taxa
-2.0901808386982648,-0.4977576834825037,-2.079860082548545,-0.6142938643443342,4,Musanga cecropiodes | Musanga cecropioides | Musanga cecropoides | Musanga cecropoidies
-1.8970832027099385,0.1038647225431029,1.1245095011730255,1.4103674739327896,4,Ricinidendron heudeloti | Ricinodendron heudeloti | Ricinodendron heudelotii | Ricinodendron heudeotii
-1.7683514453843876,0.0846041138619627,1.109908908826811,0.0605932489067448,2,Cleistoformis patens | Cleistopholis patens
-1.253424416082185,-0.2736860111647134,-2.5078254490639,0.7354803614197674,2,Ficus mucosa | Ficus mucuso
-0.8672291441055328,-0.0578660550717917,0.0190477649472717,-0.8392562349359896,2,Macaranga barteri | Macranga bateri
-0.8028632654427573,-0.0400533659173211,1.183886058219726,0.7354803614197674,2,Pycanthus angolensis | Pycnanthus angolensis
-0.2235703574777788,4.938961843588501,-0.3223023446203888,-0.8392562349359896,2,Raulvolfia vomitoria | Rauvolvia vomitoria
-0.1592044788150034,-1.3669587025693677,1.2531030780287205,-0.4879549964957453,3,Elaeis guineense | Elaeis guineensis | Elaeis guinensis
0.2269907931616484,-0.1521285399606045,0.0190477649472717,0.0605932489067448,2,Uapaca heudeloti | Uapaca heudelotii
0.2913566718244238,0.4588908451584751,0.0190477649472717,1.7262146428162055,3,Scotellia coriacea | Scotellia coriaceae | Scotellia coricea
0.3557225504871992,0.1291298287986596,0.9234385027694988,2.4642711892535227,2,Chrysophyllum albidum | Chrysophylum albidum
0.4844543078127501,1.4607913376913904,-1.943330765817048,0.9881580963788889,3,Nauclea diderrichi | Nauclea diderrichii | Nuclea diderrichi
0.6775519438010764,0.386465830949052,-0.5903897818849071,-1.5141433475966233,2,Pavetta corymbosa | Pavetta corymbosia
0.7419178224638519,0.1295420673901795,-0.5072504349787292,0.2855556194984001,3,Nesodogornia papaverifera | Nesodogornia papaverivera | Nesogordonia papaverifera
0.8062837011266273,0.6173582269049602,-1.024175144071036,0.2855556194984001,2,Margaritaria discoidea | Margartaria discoidea
0.8706495797894026,0.0612638278324016,0.4425341573610944,-0.8569832697144038,2,Lecaniodiscus cupaniodes | Lecaniodiscus cupanioides
1.063747215777728,-0.4895757227270177,0.0190477649472717,1.3571863695975472,2,Homalium alymeri | Homalium aylmeri
1.063747215777728,-0.1867431354301995,0.0190477649472717,-0.8569832697144038,2,Drypetes | Drypetes species
1.1281130944405036,-2.014494483600892,0.0190477649472717,-0.8392562349359896,2,Diospyros dendo | Diospyrous dendo
1.2568448517660544,-0.3899236181888015,-0.8726249623530967,-1.064218605527645,2,Zanthoxylum xanthoxyloides | Zanthoxylum zanthoxyloides
1.2568448517660544,0.7125952465018592,0.0190477649472717,-0.6142938643443342,3,Dialium guineense | Dialium guinensis | Diallium guineense
1.32121073042883,-0.5763022957003312,0.0190477649472717,1.4103674739327896,3,Strombosia postulata | Strombosia pustulata | Strombosia putulata
