Plot_ID,Zone,Habitat,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,RaoQ,FEve,FRic_4D,CWM_Log10_Seed_Mass_CellResidual,FDis_CellResidual,RaoQ_CellResidual
CmP1,Core,Major River,0.6200000000000001,15.376254737931967,2.3716478540927537,25.198461079999998,1.549648755865329,2.04530234456821,0.7697257542664879,1.9746097690735835,-0.037011083634269415,0.06171087582590018,0.08604074160770159
CmP2,Core,Major River,0.6736363636363637,13.297145443271011,2.5964430827197376,28.267052380909085,1.3721195030879643,1.8100994168001776,0.6958913847091963,3.8737602309324837,0.18778414499271445,-0.11581837695146446,-0.14916218616033072
CmP3,Core,Major River,0.6368181818181818,13.503277749936744,2.627693105159757,28.226097846818185,1.6260822291125803,2.1688451167384857,0.7872191061513764,4.72463444623128,0.21903416743273407,0.13814434907315154,0.20958351377797735
CmP4,Core,Major River,0.6514285714285714,11.214256528610726,2.245973054844591,28.127661545714286,1.4629370108766342,1.9180920777405377,0.7221127461888238,2.5056857372628656,-0.16268588288243224,-0.025000869162794537,-0.04116952521997064
CmP5,Core,Major River,0.7284615384615385,10.338381713408015,2.34015951886746,25.393196780384617,1.2468049033003983,1.5698544889289683,0.8150730876406163,0.40555197348473143,-0.06849941885956312,-0.24113297673903045,-0.38940711403154005
CmP6,Core,Major River,0.6904545454545455,10.900978752891293,2.512535536275062,23.48750858909091,1.4337041640080512,1.8813626850639902,0.7747690508937245,3.170333776259727,0.10387659854803877,-0.0542337160313775,-0.07789891789651815
CmP7,Core,Major River,0.6136666666666666,13.6672969376112,2.4021761023744457,25.86664642766667,1.610010364672139,2.1559464554953967,0.804205026000928,6.504617119738878,-0.006482835352577432,0.12207248463271037,0.19668485253488832
CmP8,Core,Major River,0.6404166666666667,12.69955534296875,2.3007868231407635,23.669227017500003,1.5797608250239128,2.0700082593034663,0.7495100519613326,2.0279806592703777,-0.10787211458625956,0.09182294498448407,0.110746656342958
CmP9,Core,Major River,0.6306666666666667,12.806988079078979,2.3727907046165715,22.903203852,1.6241046388594327,2.1472159696638236,0.7193996588076528,5.482143751679288,-0.03586823311045162,0.13616675882000395,0.18795436670331522
CmP10,Core,Major River,0.6696875,12.250228786484378,2.3163835951790874,22.1469700221875,1.3742064055878453,1.8258892153020279,0.7430578264842743,4.444030240156594,-0.09227534254793568,-0.11373147445158338,-0.13337238765848047
CsP1,Core,Stream,0.53,12.355166573579424,1.9806053248699593,22.1852393715,1.8290436910347256,2.4205144567347725,0.8475254609168981,6.377917487440701,-0.09300212980797862,0.1312587153826843,0.20205294582749866
CsP2,Core,Stream,0.6011764705882352,15.43824191382353,2.2527148354894457,23.327524133176468,1.585489648486885,2.0879627829675824,0.780933513028226,3.734895934737703,0.1791073808115078,-0.11229532716515633,-0.13049872793969142
CsP3,Core,Stream,0.6058333333333333,11.750274902055624,2.1637858019327685,24.020208484666668,1.7481730208624293,2.310779340396808,0.7043608972078369,6.3984452722022995,0.09017834725483054,0.05038804521038798,0.09231782948953438
CsP4,Core,Stream,0.5895238095238097,14.716703037872161,2.1573678344657297,23.29965977990476,1.703158438505631,2.3020822700963963,0.7724094041281778,8.15880343620961,0.08376037978779172,0.00537346285358975,0.08362075918912248
CsP5,Core,Stream,0.45999999999999996,17.267074181434733,1.4018732989339722,25.360277979999996,1.9907648308977288,2.4190489048719166,0.9694333572848978,0.27552074003988447,-0.6717341557439658,0.2929798552456875,0.20058739396464276
CsP6,Core,Stream,0.5632,14.60966942201894,2.2849755489563357,23.32874908464,1.748561221878778,2.3702238850169115,0.8545477254403343,10.419838290272903,0.21136809427839776,0.05077624622673671,0.15176237410963767
CsP7,Core,Stream,0.6247368421052633,14.167188328053996,2.3143805726454763,24.270524517263155,1.4797042507397251,1.9300455755169903,0.7562929405884304,1.94843234596237,0.2407731179675383,-0.21808072491231623,-0.28841593539028354
CsP8,Core,Stream,0.618235294117647,10.055012889035217,1.9721736957514315,20.57668861141176,1.6478177671947116,2.13785029992329,0.6844649729769638,2.743630639622931,-0.10143375892650641,-0.049967208457329715,-0.08061121098398383
CsP9,Core,Stream,0.4708333333333334,14.440245543702801,1.6823481823161013,32.76639843916667,1.6651187370902774,2.1420533209214474,0.8373609114562419,1.066008713897121,-0.39125927236183666,-0.03266623856176398,-0.07640818998582644
CsP10,Core,Stream,0.615,15.144493302263129,2.5258494514181615,25.574250182999997,1.580018149829522,2.0640542726266204,0.7351237179262486,2.0552851765749782,0.4522419967402236,-0.1177668258225193,-0.1544072382806534
CuP1,Core,Upland,0.69,9.959098939206354,2.059142228254354,27.532171741684213,1.5257145471226055,1.827306763669844,0.7048680075942797,1.0341870136626456,-0.0812181669624068,-0.16903946025530092,-0.2976156668407426
CuP2,Core,Upland,0.6658260739031261,12.283038708262069,2.0646057532462634,23.903072420600004,1.6637583632724262,2.0573164249191187,0.740965867482842,2.616127496026132,-0.07575464197049753,-0.03099564410548017,-0.06760600559146779
CuP3,Core,Upland,0.6322222222222221,11.601087468630718,2.0595425295658525,29.604312904,1.7126218268341507,2.0905653356568985,0.7453182491652542,1.6568691290448505,-0.08081786565090843,0.01786781945624427,-0.034357094853687986
CuP4,Core,Upland,0.6173076923076923,13.206751433861257,2.118398201717434,27.793747959461538,1.8046892903272354,2.265881646036649,0.7268947005519822,4.061836814796311,-0.021962193499327043,0.10993528294932897,0.1409592155260624
CuP5,Core,Upland,0.6655172413793102,12.467382827338394,2.190893398673336,30.581091507793104,1.652878151064698,2.1550270632469593,0.7638610951771807,5.413382403915709,0.05053300345657519,-0.04187585631320845,0.03010463273637276
CuP6,Core,Upland,0.6885714285714285,9.77391059520689,2.149636157607469,24.781626246666665,1.595432956136453,2.004093489765221,0.8151852102725584,4.408732867738503,0.009275762390708042,-0.0993210512414533,-0.12082894074536554
CuP7,Core,Upland,0.6502608591225009,12.277401086536704,2.209144160424087,27.164203852399996,1.785621373419769,2.2316902137986077,0.796234603853356,3.525221298442411,0.06878376520732621,0.09086736604186263,0.10676778328802117
CuP8,Core,Upland,0.6104166666666666,10.004522421318043,2.376390841879881,24.566744004583338,1.7460953380476807,2.172256523606494,0.7978924330681779,5.076057181500728,0.23603044666312023,0.05134133066977431,0.04733409309590764
CuP9,Core,Upland,0.6696,12.947918987766622,2.01343068912421,23.348121628720005,1.669960070235498,2.159055933189052,0.7765074705500125,5.8932928436915795,-0.12692970609255072,-0.024793937142408407,0.03413350267846571
CuP10,Core,Upland,0.6372400642635879,13.084687646165845,2.1624199916747195,26.42574409191304,1.7907681573185472,2.2860309112170216,0.8247789215583404,5.748596365682416,0.02205959645795863,0.09601414994064084,0.16110848070643513
