FD_Response,CWM_Trait,CWM_Column,Beta,HC3_SE,HC3_t,HC3_p,CI95_Lower,CI95_Upper,Model_R2,Model_Adjusted_R2
Functional Dispersion,CWM Wood Density,CWM_WD,0.3318834055082496,0.9285718077340758,0.35741275229766,0.7207828314376783,-1.4880838947097905,2.1518507057262894,0.42406665586326187,0.33431081002377017
Functional Dispersion,CWM Specific Leaf Area,CWM_SLA,0.03654545449789072,0.0319132362542619,1.1451503760609738,0.2521468705907812,-0.02600333919058055,0.09909424818636199,0.42406665586326187,0.33431081002377017
Functional Dispersion,CWM Log10 Seed Mass,CWM_Log10_Seed_Mass,-0.4297176740417272,0.12107812831699166,-3.5490941263701563,0.00038655887591368746,-0.6670264448585501,-0.1924089032249043,0.42406665586326187,0.33431081002377017
Functional Dispersion,CWM Maximum Height,CWM_Max_Height_m,0.01568546715849443,0.012121487280529912,1.2940216654510002,0.19565793734601022,-0.008072211350404559,0.03944314566739342,0.42406665586326187,0.33431081002377017
Rao Quadratic Entropy,CWM Wood Density,CWM_WD,0.9337689434527245,1.2405617408931746,0.7526984854300225,0.45163112029028685,-1.4976873892962081,3.3652252762016572,0.38840662707031026,0.29309337414620273
Rao Quadratic Entropy,CWM Specific Leaf Area,CWM_SLA,0.051744480310061354,0.039056034398030674,1.324877988961175,0.18521162242823808,-0.02480394048903626,0.12829290110915897,0.38840662707031026,0.29309337414620273
Rao Quadratic Entropy,CWM Log10 Seed Mass,CWM_Log10_Seed_Mass,-0.5744471053595046,0.1663721333633908,-3.4527843921120764,0.0005548322790558104,-0.9005304947828453,-0.2483637159361639,0.38840662707031026,0.29309337414620273
Rao Quadratic Entropy,CWM Maximum Height,CWM_Max_Height_m,0.022256352700630894,0.016607216211990846,1.3401615548643981,0.1801928274941096,-0.010293192958340865,0.05480589835960265,0.38840662707031026,0.29309337414620273
