Habitat,Trait,Column,N_Plots,Mean,SD,Median,Min,Q1,Q3,Max
Major River,Wood Density,CWM_WD,30,0.5756067916925917,0.07662709945900309,0.5700555555555555,0.4175,0.5380833333333334,0.6350196078431372,0.7284615384615385
Major River,Specific Leaf Area,CWM_SLA,30,14.495235176581255,2.779253638468105,13.926373094962774,10.338381713408015,12.814047250052829,15.625316374365628,21.528194813553476
Major River,Log10 Seed Mass,CWM_Log10_Seed_Mass,30,2.3000142651850437,0.3654456736421307,2.335172218255567,1.3798571871854517,2.207550252962659,2.45745605491383,3.104002577047117
Major River,Maximum Height,CWM_Max_Height_m,30,25.047014263135868,4.424302581604723,24.145208485624998,18.825774200799998,22.681395089992755,25.786041575000002,41.24330894777778
Stream,Wood Density,CWM_WD,30,0.49614695747556714,0.08679300799701296,0.5130072427508685,0.3566666666666667,0.4114285714285715,0.5628347826086957,0.6247368421052633
Stream,Specific Leaf Area,CWM_SLA,30,14.852000806256381,2.3350443925449795,14.620709733087626,10.055012889035217,13.22816827093141,16.350335176307638,19.433297233335015
Stream,Log10 Seed Mass,CWM_Log10_Seed_Mass,30,2.019965809598123,0.38565350419803496,1.9763895103106954,1.3221971321881052,1.727188461758163,2.2832623581117795,2.7474583171693
Stream,Maximum Height,CWM_Max_Height_m,30,26.064214515528587,4.06341108080682,24.912427549423075,19.9259936604,23.151306360497927,28.344392328398325,35.98837681716667
Upland,Wood Density,CWM_WD,30,0.5625757036721014,0.1033321310397464,0.6032189542483661,0.38625,0.46261111111111114,0.6569652147806252,0.69
Upland,Specific Leaf Area,CWM_SLA,30,14.15020319173851,2.88251229919047,13.905976155807611,9.77391059520689,12.35520581491392,15.213675053240502,23.138102740162505
Upland,Log10 Seed Mass,CWM_Log10_Seed_Mass,30,2.3215661716176004,0.3876791356393401,2.181162394370488,1.8578084593585757,2.0744052996632374,2.424153975755706,3.5411484963725726
Upland,Maximum Height,CWM_Max_Height_m,30,23.67161547468955,5.222700251752828,24.48887374299167,12.592917716666667,21.15181837110714,26.979588912278256,33.84116678875
