Trait,N,Min,Median,Mean,Max,CV,Skewness,Excess_Kurtosis,N_IQR_Flagged,Percent_Flagged,Log10_Skewness,Abs_Skew_Reduction,Log10_Excess_Kurtosis,Max_Min_Ratio,Orders_of_Magnitude
Wood Density,127,0.18,0.58,0.5420198541579725,0.81,0.2910201118208919,-0.5294670986063722,-0.6669076056975731,0,0.0,-1.1244756204851374,-0.5950085218787652,0.5574982256806198,4.500000000000001,0.6532125137753437
Specific Leaf Area,127,3.11,15.99735,16.34400900825072,48.909,0.40209318292509194,1.8228629976238984,8.379832781439465,8,6.299212598425196,-1.4412518522871955,0.3816111453367028,4.880153016856927,15.72636655948553,1.1966283942417624
Seed Mass,126,0.3891,131.18999999999997,810.7262156825161,16666.666666666668,2.6009087432203586,5.277645683245422,32.50498057649931,23,18.253968253968253,-0.5175490538566584,4.760096629388763,0.2773320807398463,42833.890173905595,4.631787518812613
Maximum Height,127,2.438429651,24.38429651,26.51992180080315,60.96074128,0.5103521587950617,0.5607369798669283,-0.35198468173054787,0,0.0,-0.8352496634339752,-0.27451268356704694,1.050959853840923,25.000000002050502,1.3979400087076586
