Metric,Column,N_Plots,Residual_Shapiro_W,Residual_Shapiro_p,Residual_Skewness,Residual_Excess_Kurtosis,Brown_Forsythe_Statistic,Brown_Forsythe_p,Breusch_Pagan_Statistic,Breusch_Pagan_p,Breusch_Pagan_F,Breusch_Pagan_F_p,N_Cooks_D_Flagged,N_Leverage_Flagged,N_Abs_Studentized_Residual_GT3,Max_Abs_Studentized_Residual,Residual_Normality_Status,Cell_Variance_Status,BP_Variance_Status
Functional Dispersion,FDis,90,0.921450655786891,4.2446457014149635e-05,0.5284444118220655,4.741704505191018,3.4406757310698346,0.0018573163706001726,19.887024904657714,0.01077202830685801,2.871881087428505,0.0072761940720465455,7,0,2,5.166720211042891,STRONG_NORMALITY_CONCERN,STRONG_VARIANCE_CONCERN,MILD_VARIANCE_CONCERN
Rao Quadratic Entropy,RaoQ,90,0.9358049893543077,0.00024600444597522775,-0.10700185594695037,3.074834054915475,3.682898380595539,0.0010394643455038136,23.720076415214365,0.002552905906056303,3.6235071001073824,0.0011982364791018653,6,0,2,4.323818049382429,STRONG_NORMALITY_CONCERN,STRONG_VARIANCE_CONCERN,STRONG_VARIANCE_CONCERN
