Habitat,Metric,Column,N_Plots,Mean,SD,Median,Min,Q1,Q3,Max
Major River,Functional Dispersion,FDis,30,1.5824421904700297,0.22423264293285994,1.597750006579512,1.0027869076632236,1.4638517787405607,1.6904580909936449,2.1676288473661294
Major River,Rao Quadratic Entropy,RaoQ,30,2.073804694445307,0.3075875119790454,2.116526163567981,1.1731788783397201,1.890545033233127,2.233852905314637,2.6681643800871866
Stream,Functional Dispersion,FDis,30,1.6149935622795004,0.2879313821006961,1.667751112465281,0.9417009797196452,1.4661052855837082,1.7979992904571664,2.0714197313272513
Stream,Rao Quadratic Entropy,RaoQ,30,2.0710910320845466,0.4182872479894775,2.1399518104223687,0.9794698250574968,1.8497627426353946,2.406842649908165,2.5571850420537796
Upland,Functional Dispersion,FDis,30,1.6606845068185416,0.3329234869011299,1.6654198468448396,0.8766009122519117,1.5354242929724702,1.7511297349315378,2.924414402508278
Upland,Rao Quadratic Entropy,RaoQ,30,2.109706441550793,0.4409337743375302,2.1428007047522453,0.994169021412492,1.9524198637652503,2.280993594921928,3.5726380156657536
