Trait,Column,N_Plots,Model_Parameters,Residual_Shapiro_W,Residual_Shapiro_p,Residual_Skewness,Residual_Excess_Kurtosis,Brown_Forsythe_Statistic,Brown_Forsythe_p,Breusch_Pagan_Statistic,Breusch_Pagan_p,Breusch_Pagan_F,Breusch_Pagan_F_p,Durbin_Watson,Cooks_D_Threshold,N_Cooks_D_Flagged,Leverage_Threshold,N_Leverage_Flagged,N_Abs_Studentized_Residual_GT3,Maximum_Abs_Studentized_Residual,Residual_Normality_Status,Cell_Variance_Status,BP_Variance_Status
Wood Density,CWM_WD,90,9,0.9701390953177695,0.036167191457440746,-0.620647480922132,0.5465733393491141,0.8439911354312606,0.5669627725920449,11.238305972732071,0.18855860672164107,1.4447105205040154,0.19085271205847323,2.0805573704949936,0.044444444444444446,6,0.2,0,1,3.184152130569534,MILD_NORMALITY_CONCERN,NO_STRONG_EVIDENCE_OF_HETEROSCEDASTICITY,NO_STRONG_EVIDENCE_OF_HETEROSCEDASTICITY
Specific Leaf Area,CWM_SLA,90,9,0.9802590470929957,0.18828420691474174,0.33799817442765034,0.1308303974413647,1.1238110942500248,0.3563623608449042,11.242633568959175,0.18832660463067058,1.4453462583132661,0.1906031065599068,2.316117499268314,0.044444444444444446,3,0.2,0,1,3.4435574653291967,NO_STRONG_EVIDENCE_OF_NONNORMALITY,NO_STRONG_EVIDENCE_OF_HETEROSCEDASTICITY,NO_STRONG_EVIDENCE_OF_HETEROSCEDASTICITY
Log10 Seed Mass,CWM_Log10_Seed_Mass,90,9,0.9707111793667907,0.03968583294971194,-0.0934664536969713,1.1885414357789257,2.5189715358673106,0.016886499491693144,15.587721424920598,0.048675895483623395,2.120962863246828,0.04293955524248534,2.3102027511544265,0.044444444444444446,9,0.2,0,1,3.4343073188392905,MILD_NORMALITY_CONCERN,MILD_VARIANCE_CONCERN,MILD_VARIANCE_CONCERN
Maximum Height,CWM_Max_Height_m,90,9,0.9409084032240067,0.00047935700185924,1.016268642834034,2.3748413774959056,2.30110491432779,0.02823008116800754,16.983270040938187,0.030283759603895358,2.3550165730635886,0.024873723676132675,2.2169265258322013,0.044444444444444446,4,0.2,0,2,3.9134027001630853,STRONG_NORMALITY_CONCERN,MILD_VARIANCE_CONCERN,MILD_VARIANCE_CONCERN
