Zone,Metric,Column,N_Plots,Mean,SD,Median,Min,Q1,Q3,Max
Buffer,Functional Dispersion,FDis,30,1.6284123391708591,0.18288630145898174,1.6570370023228826,1.2376536979554675,1.5280200831922728,1.7582275779606173,1.9907648308977288
Buffer,Rao Quadratic Entropy,RaoQ,30,2.136830958275945,0.26594992220022606,2.1843373750180506,1.493048216695286,1.9593167086256191,2.364334832525903,2.477895778840737
Core,Functional Dispersion,FDis,30,1.6268256210231258,0.15562098289884868,1.636949998153646,1.2468049033003983,1.5571767731549748,1.7377269602442982,1.9907648308977288
Core,Rao Quadratic Entropy,RaoQ,30,2.100881848126123,0.1954744236419624,2.1399518104223687,1.5698544889289683,2.014395703465968,2.2168317912505793,2.4205144567347725
Transition,Functional Dispersion,FDis,30,1.602882299374088,0.43489131888309723,1.6271703439008482,0.8766009122519117,1.37051586642632,1.7979992904571664,2.924414402508278
Transition,Rao Quadratic Entropy,RaoQ,30,2.016889361678578,0.5900673550409818,2.081017505945363,0.9794698250574968,1.7650313959941568,2.3556357587512693,3.5726380156657536
