FD_Response,Seed_Mass_Beta,HC3_p,Direction
Functional Dispersion,-0.4297176740417272,0.0003865588759136,NEGATIVE
Rao Quadratic Entropy,-0.5744471053595046,0.0005548322790558,NEGATIVE
