Comparison_Family,Level_A,Level_B,FDis_Difference,FDis_Holm_p,FDis_Significant,RaoQ_Difference,RaoQ_Holm_p,RaoQ_Significant,Direction_Concordant,Significance_Concordant
Habitat_within_Buffer,Major River,Stream,0.13081461287892174,0.2613511992695945,False,0.1911237268245187,0.2773589797025415,False,True,True
Habitat_within_Buffer,Major River,Upland,0.137288871163751,0.1641045168773398,False,0.16016445361282447,0.2773589797025415,False,True,True
Habitat_within_Buffer,Stream,Upland,0.006474258284829254,0.9447938737994297,False,-0.030959273211694227,0.8298181340146776,False,False,True
Habitat_within_Core,Major River,Stream,-0.20984709561261353,0.0034115308497287378,True,-0.25919990794676606,0.009867324896611953,True,True,True
Habitat_within_Core,Major River,Upland,-0.20681612733847754,0.0005808621442352577,True,-0.16566082755007788,0.0789812209859221,False,True,False
Habitat_within_Core,Stream,Upland,0.0030309682741359867,0.9574749681925823,False,0.09353908039668818,0.20102332557495242,False,True,True
Habitat_within_Transition,Major River,Stream,-0.018621632694720586,1.0,False,0.07621716820452909,1.0,False,False,True
Habitat_within_Transition,Major River,Upland,-0.16519969287080905,1.0,False,-0.10220886737920493,1.0,False,True,True
Habitat_within_Transition,Stream,Upland,-0.14657806017608843,1.0,False,-0.17842603558373404,1.0,False,True,True
Zone_within_Major River,Buffer,Core,0.229842287145655,0.0008885159206056522,True,0.2946654154612185,0.001094898580158527,True,True,True
Zone_within_Major River,Buffer,Transition,0.17617164299950472,0.23928391856884768,False,0.2457015564680394,0.22658955806002457,False,True,True
Zone_within_Major River,Core,Transition,-0.053670644146150276,0.6341904666352658,False,-0.048963858993179066,0.7603990436358549,False,True,True
Zone_within_Stream,Buffer,Core,-0.11081942134588027,0.6419232471603575,False,-0.1556582193100663,0.5229555056732894,False,True,True
Zone_within_Stream,Buffer,Transition,0.026735397425862395,0.8689085234273793,False,0.1307949978480498,0.5765072708623873,False,True,True
Zone_within_Stream,Core,Transition,0.13755481877174267,0.7307412224942746,False,0.2864532171581161,0.5229555056732894,False,True,True
Zone_within_Upland,Buffer,Core,-0.11426271135657354,0.23114947987041057,False,-0.0311598657016839,1.0,False,True,True
Zone_within_Upland,Buffer,Transition,-0.12631692103505532,1.0,False,-0.016671764523989996,1.0,False,True,True
Zone_within_Upland,Core,Transition,-0.012054209678481753,1.0,False,0.01448810117769389,1.0,False,False,True
