Canonical_Species,PC1,PC2,PC3,PC4
Amphimas tetracoides,0.30210463653236796,0.7938193128937795,0.6878691900043066,1.1214201030646143
Annonidium manni,0.34575061614806096,0.3657296698420614,0.2549740766482379,-2.0563761442052853
Anthonotha macrophylla,1.633546356358029,-0.3412355851137812,1.0547575954959123,-1.126493451266472
Blighia sapida,1.6773641395952288,-0.24607704712960357,0.5013811037818682,-0.18728397171171354
Celtis zenkeri,-0.5287301921666689,-0.6975974737574401,0.9619662941796487,0.5175710322931542
Cleistopholis patens,-0.3132812242388567,0.9820604171706226,0.3379255491957008,-1.786900263850356
Diospyros dendo,1.745946839551838,-0.4514330525902434,-1.627626681216181,0.3664017502908116
Drypetes species,0.7290899365851662,-1.1028689275510617,-0.25581323839858766,0.2964487471683476
Funtumia elastica,-0.6048078595970168,0.9979225158377276,-0.6776631413414981,-0.028477308403583347
Homalium aylmeri,0.8118863498330673,0.7740288187005345,0.3190577100691548,1.3614265705320385
Irvinga gabonensis,2.5408998124821034,0.4120799393250836,0.9898743890967079,0.28878206819830265
Lecaniodiscus cupanioides,0.7596470704761695,-1.0471357283779825,0.11389593510401316,-0.07423990185805056
Lonchocarpus cilliata,0.27050768617025656,-1.4143023028669812,0.39309375594700474,0.287994191781124
Margaritaria discoidea,-0.551382095616259,-0.507372233329588,0.1951091763830535,1.2498739677906843
Millettia thoningii,0.3706214784422796,-0.7206032288281821,-0.002397517375981618,0.2109312882429495
Monodora tenuifolia,0.46601065486821264,-0.7247756425252035,0.07923308128466319,-1.0383168754700767
Nesodogornia papaverifera,0.005013143560579582,-0.22978639170411227,0.07563734880314713,0.9206086531049589
Picralima nitida,1.9061111776863828,-0.38649169781019704,-0.051922678314173375,0.24843994786620335
Pycnanthus angolensis,0.30809815145112174,1.1313007798051806,0.6968841281637669,-0.853403680914212
Ricinodendron heudelotii,-0.43391099208647355,2.1131035616791762,0.8280327864730636,-1.2346039370745945
Scotellia coricea,-0.13630582812707323,1.0780648288581227,1.0377835851708204,1.0088862694858778
Sterculia rhinopetala,1.1276712095788355,0.6072671870283742,0.21942824756641158,0.44187279321621215
Strombosia pustulata,0.9983179465880343,0.7295252658073174,0.31798373377314804,1.5611732345359692
Trichilia gilgiana,-0.22156247835360143,-0.3971427529475404,0.1280525720734501,-0.2649192048958463
Trichilia monadelpha,0.08864018721996124,-0.33321847722179787,0.2091841207738712,-0.8784443570052373
Uapaca heudelotii,0.2166772418953429,0.0018859992461261826,-0.04380876524868931,0.1727150252644982
Alstonia boonei,-0.8563822711374272,1.310576298158389,-0.707301826328199,-0.17467221480258863
Bombax buonopozense,-1.8919889283625007,0.6397746550071862,0.79704266328326,-0.2773404566191806
Bosqueia angolensis,0.47544581345433146,0.43625477743057456,0.2758815803361683,-0.3036316753943774
Dialium guinensis,0.3434265016440603,-1.3263550979203964,0.5503460758354141,0.5339759590750508
Ficus exasperata,-2.055638545925958,-0.06876578605406991,-1.8386325671641504,0.5418679656206824
Grewia pubescens,0.7340120041534716,-0.5880731257074628,-0.8390349003590135,-1.0183979870965614
Homalium alymeri,0.8118863498330673,0.7740288187005345,0.3190577100691548,1.3614265705320385
Musanga cecropiodes,-2.187846280474998,0.3728006948410535,-2.028786438333419,-0.5274158200597858
Nesodogornia papaverivera,0.005013143560579582,-0.22978639170411227,0.07563734880314713,0.9206086531049589
Pavetta corymbosa,-0.15654563096669075,-1.7408852386246716,-0.4370770569803352,0.05829531962642439
Ricinodendron heudeloti,-0.43391099208647355,2.1131035616791762,0.8280327864730636,-1.2346039370745945
Sterculia tragacantha,0.1363442911855256,0.8613806084279355,-0.3841450924932657,-1.4739504085092334
Strombosia postulata,0.9983179465880343,0.7295252658073174,0.31798373377314804,1.5611732345359692
Baphia nitida,0.9665505139207166,-1.8340999427844233,-0.1116322008962469,0.5201624153832716
Cola species,0.5621755906085355,-1.0031859882377108,0.028178317606443546,-0.5292922535629507
Diospyrous mespiliformis,1.8734450690364313,0.48617687320137615,-1.0886058140081218,0.2839564816169844
Garcinia kola,2.3254797486555563,-0.06864480624136546,0.23202980651448293,0.23955056363720903
Hildegardia barteri,-0.6310645803912011,0.917123936895777,0.09876129399466503,-1.1263729329365335
Lecaniodiscus cupaniodes,0.7596470704761695,-1.0471357283779825,0.11389593510401316,-0.07423990185805056
Maesobotrya barteri,0.3362713948347662,-1.134209785600863,-0.5118494188492088,-0.3879844292523816
Nauclea diderrichi,-1.7934085336481256,-0.23076475863942966,0.5676584991853574,1.8787749954035355
Nesogordonia papaverifera,0.005013143560579582,-0.22978639170411227,0.07563734880314713,0.9206086531049589
Pterocarpus osun,-0.5831305792548747,-0.6353227720850916,1.433407880393224,0.44759749837698787
Rinorea dentata,-0.12394420032259218,-1.754086682420488,0.35032375368189167,-0.2797260673357092
Scotellia coriaceae,-0.13630582812707323,1.0780648288581227,1.0377835851708204,1.0088862694858778
Terminalia superba,0.013594199109057516,1.2605355360807262,-0.2571030028081979,0.20416656465272096
Zanthoxylum xanthoxyloides,0.3832879525853326,-1.403630747226277,-0.9048145949062507,0.8306362587762552
Diallium guineense,0.3434265016440603,-1.3263550979203964,0.5503460758354141,0.5339759590750508
Dillenia indica,0.023084097219997938,-0.23542150604573162,-1.190764100226549,0.2787054175680667
Margartaria discoidea,-0.551382095616259,-0.507372233329588,0.1951091763830535,1.2498739677906843
Musanga cecropioides,-2.187846280474998,0.3728006948410535,-2.028786438333419,-0.5274158200597858
Pavetta corymbosia,-0.15654563096669075,-1.7408852386246716,-0.4370770569803352,0.05829531962642439
Pycanthus angolensis,0.30809815145112174,1.1313007798051806,0.6968841281637669,-0.853403680914212
Ricinodendron heudeotii,-0.43391099208647355,2.1131035616791762,0.8280327864730636,-1.2346039370745945
Afzelia africana,1.025469158289924,-0.09365168871671349,1.2693940734808018,-0.13405291725372584
Albizia zygia,-0.6788120145468843,-0.370047309715162,0.31525917851287827,-0.0172880562160097
Anthocleista djalonensis,-1.8987398754619422,-1.1571806660507686,-0.6955905565911863,0.3248840548406513
Anthocleista vogelii,-0.8614231228261292,-0.4795605675694111,0.34788626796336,-0.8116813750007372
Brachystegia eurycoma,1.7083474563797822,0.8512020312437948,0.8817373993879115,-0.4222831073020549
Bridelia ferruginea,0.23341961263171318,-1.4858601095378823,-0.7495474597785148,-0.0996513775918935
Cassia saimen,0.7090003036486797,-0.35202388691108594,-1.3022508768962469,0.8144142602896929
Ceiba pentandra,-0.9854957472525611,2.7389501144600095,0.1467240348020418,0.39676687863149357
Diospyrous melistoformis,1.9443213309582332,0.4268889254588325,-1.0658424946604907,0.37064668512852106
Drypetes,0.7290899365851662,-1.1028689275510617,-0.25581323839858766,0.2964487471683476
Funtumia africana,-0.49938015169497546,0.7637946958223089,-0.717351786304198,-0.16879191527595605
Gmelina arborea,0.5080456547292882,0.9172290935136576,-0.16394369072340317,-0.8416626927457329
Harungana madagascariensis,-1.0899522515888533,0.3490230576814652,-1.7114713167923474,0.3870030268419569
Hexalobus crispiflorus,0.5325384482731788,0.12557971743802404,0.5359338707234824,-0.9178100768010228
Holarrhena floribunda,-0.8975668764496277,-0.5751421565540911,-0.7896443578116562,-0.26206138468826246
Macaranga barteri,-0.40394002587241856,-0.24643426876734972,-0.49283177629175196,-0.9966785644812555
Melacantha alnifolia,-0.40088848681555145,0.14926729780605213,-0.8739654344198453,0.13617586072166096
Musanga cecropoides,-2.187846280474998,0.3728006948410535,-2.028786438333419,-0.5274158200597858
Nothospondia staudtii,0.3526065005036585,0.39261351649655246,-0.8602123325065893,-0.3170527030638231
Nuclea diderrichi,-1.7934085336481256,-0.23076475863942966,0.5676584991853574,1.8787749954035355
Rauvolvia vomitoria,-2.9521106211721264,-2.4123775130238467,3.24654020745302,-0.4207278488561455
Rothmania hispida,0.3780628618498282,-1.6041559097064202,0.14097393321189755,0.13641933150288363
Spondia mombin,-0.8938627033182291,0.46008078448771583,-0.6845133966882802,-0.25376693721475624
Sterculia oblonga,0.9625959998467448,0.9438615247132203,0.2564908788766757,-0.1585075475821737
Albizia auxilary,0.028717792047305835,-0.47743292084963485,-0.4624728319294021,-0.1782310427240196
Blighia unijigata,0.5530305369667275,0.07228864132682632,-0.14081390056874707,-0.21982232229251994
Cleistoformis patens,-0.3132812242388567,0.9820604171706226,0.3379255491957008,-1.786900263850356
Dialium guineense,0.3434265016440603,-1.3263550979203964,0.5503460758354141,0.5339759590750508
Diospyros soubreana,1.668051216423198,-0.9906390358166338,-1.948073977728096,-0.14127752207713887
Diospyros undebunda,0.3868643260453134,-1.327506554402176,0.06751532983315822,0.1465525865479216
Milicia excelsa,-1.8991737244975901,0.7158519402354085,0.5450321396080284,1.6627751226447818
Musanga cecropoidies,-2.187846280474998,0.3728006948410535,-2.028786438333419,-0.5274158200597858
Myrianthus arboreus,-0.8402387462611263,-0.7372633415358076,0.788089895407336,-0.45176879349790494
Piptadeniastrum africanum,0.24520511674258638,1.1487449650775166,0.8151064857953041,0.8993607815893131
Ricinidendron heudeloti,-0.43391099208647355,2.1131035616791762,0.8280327864730636,-1.2346039370745945
Scotellia coriacea,-0.13630582812707323,1.0780648288581227,1.0377835851708204,1.0088862694858778
Strombosia putulata,0.9983179465880343,0.7295252658073174,0.31798373377314804,1.5611732345359692
Zanthoxylum zanthoxyloides,0.3832879525853326,-1.403630747226277,-0.9048145949062507,0.8306362587762552
Albizia ferruginea,0.12932717937870314,1.3504049868566368,0.0547983292280101,0.6625936887701992
Aningeria robusta,0.21575041718014265,1.3259592459110696,0.13324614536202947,0.6501990487134219
Artocarpus communis,0.5697130432095339,0.46988677519054817,0.31093353676875446,-1.9917819520829982
Bambusa vulgaris,0.4780336477467788,-1.28732315597911,-0.06975201799661654,0.1355399347718423
Chrysophylum albidum,0.6265536603366386,1.8799119505464041,1.5265981704832807,0.9008017556496599
Cola nitida,0.8997555577606917,-0.1324974096176958,0.6840479796830327,-0.573203825809596
Corynante pachycercus,0.7049080448630208,-0.5736179928598255,-0.2600152829366191,0.39253778581695226
Diospyrous dendo,1.745946839551838,-0.4514330525902434,-1.627626681216181,0.3664017502908116
Elaeis guineensis,1.4637403036737728,0.3523889471448516,-0.6078224056629518,-1.0325346676409268
Lonchocarpus cyanescens,-0.14403497582246572,-2.44439097937541,0.6246223464828938,-0.1383627330058518
Mitragyna cilliata,-0.3997746394806455,0.25161921273008286,0.3450507445572286,-0.11482787491004766
Pterocarpus santoxyloides,-0.276139161761626,-0.7762178490089761,1.5607754669606384,-1.238081675874948
Tetrapleura tetraptera,0.3039231892455164,-0.14423123838827173,-0.1410159925237329,0.026978850979029405
Uapaca heudeloti,0.2166772418953429,0.0018859992461261826,-0.04380876524868931,0.1727150252644982
Elaeis guinensis,1.4637403036737728,0.3523889471448516,-0.6078224056629518,-1.0325346676409268
Ficus mucosa,-2.1692468378944265,0.924570339091354,-1.4372302750465593,0.9219564118720853
Macranga bateri,-0.40394002587241856,-0.24643426876734972,-0.49283177629175196,-0.9966785644812555
Nauclea diderrichii,-1.7934085336481256,-0.23076475863942966,0.5676584991853574,1.8787749954035355
Termialia superba,-0.041470470357847955,2.4776257341782437,0.2976410137925772,0.935895643867868
Theobroma cacao,0.06320644597905684,-0.7658281266736083,0.3678450200843951,-1.864242794954778
Carica papaya,-2.9373780559233995,-0.7647376637886043,0.2066532695012974,-1.661893061806688
Chrysophyllum albidum,0.6265536603366386,1.8799119505464041,1.5265981704832807,0.9008017556496599
Citrus sinenses,1.0106354975259615,-0.788680929379932,-1.0862741987112554,0.11687807694728299
Dracena manni,-0.31338352059021524,-0.8138661001526741,-0.24319116145211117,-1.8110799564246747
Elaeis guineense,1.4637403036737728,0.3523889471448516,-0.6078224056629518,-1.0325346676409268
Ficus mucuso,-2.1692468378944265,0.924570339091354,-1.4372302750465593,0.9219564118720853
Raulvolfia vomitoria,-2.9521106211721264,-2.4123775130238467,3.24654020745302,-0.4207278488561455
