Metric,Comparison_Family,Level_A,Level_B,Difference_A_minus_B,HC3_SE,HC3_t,Raw_p,CI95_Lower,CI95_Upper,Holm_p,Holm_Significant
Functional Dispersion,Habitat_within_Buffer,Major River,Stream,0.13081461287892174,0.08567200786707947,1.526923625764453,0.13067559963479725,-0.03964580947729843,0.3012750352351419,0.2613511992695945,False
Functional Dispersion,Habitat_within_Buffer,Major River,Upland,0.137288871163751,0.07042410649350073,1.949458473802874,0.054701505625779925,-0.0028330103680398455,0.27741075269554183,0.1641045168773398,False
Functional Dispersion,Habitat_within_Buffer,Stream,Upland,0.006474258284829254,0.09320710194799654,0.06946099760125003,0.9447938737994297,-0.17897863771015268,0.1919271542798112,0.9447938737994297,False
Functional Dispersion,Habitat_within_Core,Major River,Stream,-0.20984709561261353,0.06465876208418178,-3.245454890389107,0.0017057654248643689,-0.33849775022316375,-0.08119644100206333,0.0034115308497287378,True
Functional Dispersion,Habitat_within_Core,Major River,Upland,-0.20681612733847754,0.052951345093110704,-3.905776651656496,0.00019362071474508588,-0.3121726944788867,-0.10145956019806841,0.0005808621442352577,True
Functional Dispersion,Habitat_within_Core,Stream,Upland,0.0030309682741359867,0.05666655724807366,0.05348777870635545,0.9574749681925823,-0.10971770567974377,0.11577964222801575,0.9574749681925823,False
Functional Dispersion,Habitat_within_Transition,Major River,Stream,-0.018621632694720586,0.176860944781727,-0.10528968234169776,0.9164062506246335,-0.3705194356805892,0.3332761702911481,1.0,False
Functional Dispersion,Habitat_within_Transition,Major River,Upland,-0.16519969287080905,0.2124884046142573,-0.7774527422835414,0.43915650809600637,-0.5879849654249734,0.25758557968335527,1.0,False
Functional Dispersion,Habitat_within_Transition,Stream,Upland,-0.14657806017608843,0.2344197118664431,-0.6252804382747427,0.5335447093783645,-0.612999754825458,0.3198436344732811,1.0,False
Rao Quadratic Entropy,Habitat_within_Buffer,Major River,Stream,0.1911237268245187,0.12644028140077462,1.511573089739642,0.1345342446402168,-0.06045277181264472,0.4427002254616821,0.2773589797025415,False
Rao Quadratic Entropy,Habitat_within_Buffer,Major River,Upland,0.16016445361282447,0.09406323211429425,1.7027317689680492,0.09245299323418049,-0.026991872865138905,0.3473207800907878,0.2773589797025415,False
Rao Quadratic Entropy,Habitat_within_Buffer,Stream,Upland,-0.030959273211694227,0.14357583326504014,-0.2156301134226649,0.8298181340146776,-0.3166301450380732,0.25471159861468473,0.8298181340146776,False
Rao Quadratic Entropy,Habitat_within_Core,Major River,Stream,-0.25919990794676606,0.08556584709863146,-3.029244923479659,0.003289108298870651,-0.42944910367391753,-0.08895071221961456,0.009867324896611953,True
Rao Quadratic Entropy,Habitat_within_Core,Major River,Upland,-0.16566082755007788,0.07915494124789904,-2.092867797491732,0.03949061049296105,-0.32315433158505724,-0.008167323515098524,0.0789812209859221,False
Rao Quadratic Entropy,Habitat_within_Core,Stream,Upland,0.09353908039668818,0.07256002831616398,1.2891268452806097,0.20102332557495242,-0.050832615573628864,0.23791077636700522,0.20102332557495242,False
Rao Quadratic Entropy,Habitat_within_Transition,Major River,Stream,0.07621716820452909,0.24894090992179696,0.30616570104315993,0.7602640453725031,-0.419097155615787,0.5715314920248452,1.0,False
Rao Quadratic Entropy,Habitat_within_Transition,Major River,Upland,-0.10220886737920493,0.28662040206934813,-0.35660011165037503,0.722318447394386,-0.6724935614003054,0.46807582664189556,1.0,False
Rao Quadratic Entropy,Habitat_within_Transition,Stream,Upland,-0.17842603558373404,0.31817089694948636,-0.5607867887805634,0.5764908937427295,-0.8114863177661426,0.45463424659867446,1.0,False
Functional Dispersion,Zone_within_Major River,Buffer,Core,0.229842287145655,0.06076670801071888,3.7823718721954167,0.0002961719735352174,0.10893559929522864,0.3507489749960814,0.0008885159206056522,True
Functional Dispersion,Zone_within_Major River,Buffer,Transition,0.17617164299950472,0.11200490709538548,1.5728921845314656,0.11964195928442384,-0.04668298880824473,0.39902627480725417,0.23928391856884768,False
