Metric,Value
Number of trait pairs,6.0
Pearson FDR-significant pairs,0.0
Spearman FDR-significant pairs,0.0
Maximum absolute Pearson correlation,0.1566139243767837
Maximum absolute Spearman correlation,0.156441114143256
Moderate or strong Pearson associations,0.0
Trait-pair figures,6.0
