Target,Model,Metric,Ecological_Mean,Context_Mean,Ecological_Improvement
PC1,ECO_RANDOM_FOREST,RMSE,0.6279501474165484,1.5388500196905581,0.9108998722740097
PC1,ECO_RANDOM_FOREST,MAE,0.45830661881986373,1.239183751195529,0.7808771323756654
PC1,ECO_RANDOM_FOREST,R2,0.8325332219715357,0.007469115424254022,0.8250641065472817
PC1,ECO_RIDGE,RMSE,0.009526402895506946,1.5388500196905581,1.5293236167950512
PC1,ECO_RIDGE,MAE,0.0076932365577980985,1.239183751195529,1.2314905146377308
PC1,ECO_RIDGE,R2,0.9999616886491609,0.007469115424254022,0.9924925732249069
PC2,ECO_RANDOM_FOREST,RMSE,0.4397023275964782,0.8760409615566529,0.4363386339601747
PC2,ECO_RANDOM_FOREST,MAE,0.3403582654703826,0.6402050156822845,0.2998467502119019
PC2,ECO_RANDOM_FOREST,R2,0.9002787488006433,0.598332116647299,0.3019466321533443
PC2,ECO_RIDGE,RMSE,0.011090858998898518,0.8760409615566529,0.8649501025577544
PC2,ECO_RIDGE,MAE,0.009269048500544254,0.6402050156822845,0.6309359671817403
PC2,ECO_RIDGE,R2,0.9999384399824233,0.598332116647299,0.40160632333512425
