Bootstrap_ID,Sample_Seed,Turning_Point_Detected,Dominant_Turning_Value,SHAP_at_Turning_Value,N_Central_Turning_Candidates,CWM_WD_SHAP_Direction_Correlation,CWM_WD_SHAP_Importance_Rank
1,191664963,True,0.6011764705882352,1.122996810085544,2,0.8181040788003064,1
2,1662057957,True,0.5299999999999999,1.5124629338091495,5,0.830275321135897,1
3,1405681631,True,0.4644444444444444,-1.8446502414659773,4,0.8933036075181776,1
4,942484272,True,0.4708333333333334,-2.7408081958247625,3,0.8203590616311683,1
5,929893137,True,0.54,0.45019303248308395,4,0.7902671607977988,1
6,1843824992,True,0.5299999999999999,0.41210796996291843,7,0.8443289819762869,1
7,184566854,True,0.636470588235294,1.1862423708460932,2,0.8654542622916193,1
8,1497586438,True,0.6011764705882352,1.4448733824209392,2,0.7727966275497256,1
9,432652533,True,0.5711111111111111,2.0208740595639636,3,0.82347108618436,1
10,202244314,True,0.4529166666666667,-2.091337953886173,2,0.9159342464792412,1
11,1130604997,True,0.6005555555555556,1.6330888369376966,1,0.8801737835114646,1
12,2095133045,True,0.5858823529411764,1.6858514910037046,1,0.7870227297536613,1
13,1580016183,True,0.5781250000000001,1.2036493249308169,1,0.8336380234005425,1
14,1634535062,True,0.6736363636363637,1.1086196335481415,3,0.8357397556210964,1
15,1540770719,True,0.5690000000000001,0.7706206638590614,6,0.8152349171813157,1
16,1688060240,True,0.553076923076923,0.7281537106805706,7,0.7849038979374017,1
17,1102145672,True,0.6058823529411765,0.9874327527196347,4,0.8811663839100562,1
18,275121930,True,0.4641666666666666,-2.7748249873074755,4,0.8638377272032646,1
19,1803345590,True,0.618235294117647,1.146730122874039,3,0.8181337663106519,1
20,967196436,True,0.6404166666666667,0.8007328729899106,4,0.86806499302197,1
21,1074497555,True,0.4525,-2.2286126022256703,3,0.8567604866274258,1
22,796282693,True,0.5299999999999999,1.3424483155956937,3,0.8368696940823751,1
23,392022359,True,0.6502608591225009,0.5432450687494559,2,0.8192577299570912,2
24,1990212658,True,0.5299999999999999,1.1009716267823604,5,0.7953053734590179,1
25,1678403330,True,0.6502608591225009,1.0436263955132028,2,0.8499441922139999,1
26,1382689815,True,0.6058333333333333,1.1932946007812992,4,0.8911202924016449,1
27,864178266,True,0.5299999999999999,0.6114667586872843,4,0.8999053989348409,1
28,1766867109,True,0.5299999999999999,0.7434621342900325,5,0.7926587336250047,1
29,1171300112,True,0.636470588235294,0.8902611284526225,4,0.8546317164350399,1
30,952224740,True,0.462,-2.4195587464452672,4,0.882030942884621,1
31,967354524,True,0.5858823529411764,1.1861482424191143,2,0.8331272496757958,1
32,487991438,True,0.6368181818181818,1.3603181144519019,2,0.9278422121136641,1
33,197860368,True,0.4609999999999999,-1.2139542604994933,4,0.7595320433855026,2
34,1190961760,True,0.5781250000000001,1.392595892120074,1,0.8441737859415029,1
35,1906728918,True,0.5299999999999999,0.6252226974877052,7,0.8336874576214963,1
36,137046513,True,0.47,-1.7091796283744745,3,0.7581623730891334,1
37,1843166518,True,0.6058333333333333,1.6518872582095951,1,0.8036223976810707,1
38,1777324407,True,0.5895238095238097,1.2894635737177476,3,0.8597155409575236,1
39,594336917,True,0.6200000000000001,1.5532284306897988,1,0.8788633006094211,1
40,1356488967,True,0.4599999999999999,-2.7254966371210885,5,0.8208840095347234,1
41,354826746,True,0.5299999999999999,1.1149404725616288,5,0.8128769906610799,1
42,1627981024,True,0.531,0.6307137181620072,3,0.853201735961617,1
43,1504361614,True,0.6005555555555556,1.1590731508196888,2,0.8672693027322437,1
44,761338718,True,0.5781250000000001,1.1122928369865956,3,0.8684731796459131,1
45,145857092,True,0.5299999999999999,-0.10144153012562233,4,0.8611117605766068,1
46,2084558133,True,0.5299999999999999,0.41054864921071305,6,0.8759434617808065,2
47,957106589,True,0.6005555555555556,1.6197341411362216,1,0.8418642117899692,1
48,1917963002,True,0.4611111111111111,-1.5446115785124563,5,0.8257331330587055,1
49,1455819991,True,0.5196774193548387,0.6738094672042574,4,0.8300708306169233,1
50,1671565830,True,0.4599999999999999,-2.289519859917255,3,0.8962306900415432,1
51,1631871623,True,0.5299999999999999,0.3675969339000763,5,0.8496847933301667,1
