Model,Metric,Mean,SD,Median,Min,Max
ECO_LOGISTIC,Accuracy,0.9692647058823529,0.03768355632993687,1.0,0.875,1.0
ECO_LOGISTIC,Balanced_Accuracy,0.9644166666666666,0.04755313349349866,1.0,0.8333333333333334,1.0
ECO_LOGISTIC,Macro_F1,0.9681129426129427,0.04157732056722903,1.0,0.8392857142857143,1.0
ECO_LOGISTIC,Multiclass_Log_Loss,0.1609569856253166,0.04632532744252804,0.15923864410872057,0.034982909495624326,0.2911300210688758
ECO_RANDOM_FOREST,Accuracy,0.8644117647058823,0.07982769970773135,0.875,0.625,1.0
ECO_RANDOM_FOREST,Balanced_Accuracy,0.8443333333333334,0.09710945841461709,0.8666666666666667,0.6166666666666667,1.0
ECO_RANDOM_FOREST,Macro_F1,0.8364604423354423,0.09898637543058487,0.8416125541125541,0.6098484848484849,1.0
ECO_RANDOM_FOREST,Multiclass_Log_Loss,0.4154400286989706,0.09031867866606243,0.4021962705257275,0.23629256205076205,0.6252204606905466
