Experiment_ID,Target,Habitat,Zone,N_Plots,Mean_MAE,Mean_RMSE,Mean_Prediction_SD,Mean_Bias,High_Uncertainty_Plots
CD01_CWM_WD,CWM_WD,Major River,Buffer,10,0.04015652610878717,0.04068987732631663,0.005284997356406362,-0.017686632355802416,1
CD01_CWM_WD,CWM_WD,Major River,Core,10,0.06952165372676512,0.0700673711117551,0.006094834099799122,-0.06083027018542423,1
CD01_CWM_WD,CWM_WD,Major River,Transition,10,0.042621629249816516,0.04335503146846633,0.006019473976408857,0.010772153225419261,1
CD01_CWM_WD,CWM_WD,Stream,Buffer,10,0.06287838546633504,0.06389868254474015,0.008140641250671658,0.053109725249637404,4
CD01_CWM_WD,CWM_WD,Stream,Core,10,0.048607194643113624,0.049250488975793046,0.005439538235422754,-0.029249837856589113,1
CD01_CWM_WD,CWM_WD,Stream,Transition,10,0.1122506306473382,0.11253032302233841,0.007066496550028245,0.1122506306473382,4
CD01_CWM_WD,CWM_WD,Upland,Buffer,10,0.046142793724514325,0.04708494740794096,0.007447614615198807,-0.020491538519654694,3
CD01_CWM_WD,CWM_WD,Upland,Core,10,0.06607163913503718,0.06663345351717051,0.0073993357666899216,-0.06603604766551077,1
CD01_CWM_WD,CWM_WD,Upland,Transition,10,0.04857992333042368,0.049219984516973514,0.006453874387066415,0.022096935752975715,1
CD02_FDis,FDis,Major River,Buffer,10,0.10038291642432746,0.10731875431693809,0.03317403312870034,-0.03848306723611851,1
CD02_FDis,FDis,Major River,Core,10,0.1400990938093686,0.14279111490713153,0.02315622936306686,0.11835432831346435,1
CD02_FDis,FDis,Major River,Transition,10,0.24708555499767698,0.25332754182992623,0.039342545791408196,0.13372327900281436,3
CD02_FDis,FDis,Stream,Buffer,10,0.14959954799717537,0.15373218705195915,0.03578359258285938,0.020959482783512805,1
CD02_FDis,FDis,Stream,Core,10,0.09878675937084436,0.10792294753502334,0.04545615314104611,0.015418559817289648,1
CD02_FDis,FDis,Stream,Transition,10,0.25621611887470774,0.26358660882425355,0.05441674956395567,-0.0063071737286865045,5
CD02_FDis,FDis,Upland,Buffer,10,0.10019054727251357,0.10468510384736192,0.029614277076869356,0.07701542162089312,0
CD02_FDis,FDis,Upland,Core,10,0.13848254435333324,0.1437326458591761,0.037991325015078896,-0.13221802463174565,0
CD02_FDis,FDis,Upland,Transition,10,0.38066295711994724,0.3859540306360609,0.0580061463738778,-0.10644608801414054,7
CD04_Richness,Richness,Major River,Buffer,10,1.4914543726551228,1.5633821124870573,0.4713860722208949,0.26972961075036117,1
CD04_Richness,Richness,Major River,Core,10,2.289220232683983,2.3651705446087674,0.4522486007993159,-1.0964055025252524,4
CD04_Richness,Richness,Major River,Transition,10,1.8439095094627593,1.88949685687466,0.3866233032253035,0.4756605468142966,1
CD04_Richness,Richness,Stream,Buffer,10,3.089390978604729,3.1384476222286457,0.5151004885238917,-1.0658966048673553,4
CD04_Richness,Richness,Stream,Core,10,1.9907836244588744,2.053447610556993,0.46613025453581003,0.7888925580808085,2
CD04_Richness,Richness,Stream,Transition,10,1.053633427489178,1.1228913823963003,0.3721536832288616,0.5136160450937951,2
CD04_Richness,Richness,Upland,Buffer,10,1.9077475051615043,1.9583268770184898,0.46582196326509634,-0.5727448940503942,2
CD04_Richness,Richness,Upland,Core,10,2.047486733044733,2.0965343150129736,0.43944619953889436,0.29725423520923483,1
CD04_Richness,Richness,Upland,Transition,10,1.5817376684704185,1.634888972267052,0.3737736356377292,0.8801363005050507,2
