Experiment_ID,Target,Zone,N_Plots,Mean_MAE,Mean_RMSE,Mean_Prediction_SD,Mean_Bias,High_Uncertainty_Plots
CD01_CWM_WD,CWM_WD,Buffer,30,0.04972590176654552,0.05055783575966591,0.006957751074092275,0.00497718479139343,8
CD01_CWM_WD,CWM_WD,Core,30,0.061400162501638635,0.06198377120157288,0.006311236033970599,-0.052038718569174705,3
CD01_CWM_WD,CWM_WD,Transition,30,0.06781739440919281,0.06836844633592608,0.006513281637834506,0.048373239875244396,6
CD02_FDis,FDis,Buffer,30,0.1167243372313388,0.12191201507208639,0.032857300929476356,0.019830612389429136,2
CD02_FDis,FDis,Core,30,0.12578946584451542,0.13148223610044366,0.035534569173063954,0.0005182878330027775,2
CD02_FDis,FDis,Transition,30,0.29465487699744397,0.3009560604300802,0.05058848057641389,0.006990005753329102,15
CD04_Richness,Richness,Buffer,30,2.1628642854737854,2.220052203911398,0.4841028413366277,-0.4563039627224628,7
CD04_Richness,Richness,Core,30,2.10916353006253,2.171717490059578,0.4526083516246734,-0.0034195697450697467,7
CD04_Richness,Richness,Transition,30,1.4930935351407855,1.549092403846004,0.37751687403063144,0.6231376308043808,5
