Experiment_ID,Final_Role,Target,Plot_ID,Predictor,Predictor_Value,SHAP_Value,Absolute_SHAP_Value
CD04_Richness,PRIMARY_XAI,Richness,CsP7,CWM_WD,0.6247368421052633,1.059967691224825,1.059967691224825
CD04_Richness,PRIMARY_XAI,Richness,CmP9,CWM_WD,0.6306666666666667,1.389277274082313,1.389277274082313
CD04_Richness,PRIMARY_XAI,Richness,CuP3,CWM_WD,0.6322222222222221,0.7187820876061067,0.7187820876061067
CD04_Richness,PRIMARY_XAI,Richness,BmP8,CWM_WD,0.636470588235294,1.0221438920787678,1.0221438920787678
CD04_Richness,PRIMARY_XAI,Richness,CmP3,CWM_WD,0.6368181818181818,1.3376881301822834,1.3376881301822834
CD04_Richness,PRIMARY_XAI,Richness,CuP10,CWM_WD,0.6372400642635879,1.1976113010654676,1.1976113010654676
CD04_Richness,PRIMARY_XAI,Richness,CmP8,CWM_WD,0.6404166666666667,1.173185647851799,1.173185647851799
CD04_Richness,PRIMARY_XAI,Richness,CuP7,CWM_WD,0.6502608591225009,0.8118215599062526,0.8118215599062526
CD04_Richness,PRIMARY_XAI,Richness,CmP4,CWM_WD,0.6514285714285714,0.7732408901332322,0.7732408901332322
CD04_Richness,PRIMARY_XAI,Richness,BuP8,CWM_WD,0.6592,1.4610018223520747,1.4610018223520747
CD04_Richness,PRIMARY_XAI,Richness,BuP2,CWM_WD,0.6646666666666667,1.2065416773691542,1.2065416773691542
CD04_Richness,PRIMARY_XAI,Richness,CuP5,CWM_WD,0.6655172413793102,1.3509734474270574,1.3509734474270574
CD04_Richness,PRIMARY_XAI,Richness,CuP2,CWM_WD,0.6658260739031261,1.1359819508906575,1.1359819508906575
CD04_Richness,PRIMARY_XAI,Richness,CuP9,CWM_WD,0.6696,1.5973247690486003,1.5973247690486003
CD04_Richness,PRIMARY_XAI,Richness,CmP10,CWM_WD,0.6696875,1.6062172971808715,1.6062172971808715
CD04_Richness,PRIMARY_XAI,Richness,CmP2,CWM_WD,0.6736363636363637,1.7382376294038873,1.7382376294038873
CD04_Richness,PRIMARY_XAI,Richness,BuP3,CWM_WD,0.6822727272727273,0.9267717413385645,0.9267717413385645
CD04_Richness,PRIMARY_XAI,Richness,CuP6,CWM_WD,0.6885714285714285,1.18486488466783,1.18486488466783
CD04_Richness,PRIMARY_XAI,Richness,CuP1,CWM_WD,0.69,0.46820909297858,0.46820909297858
CD04_Richness,PRIMARY_XAI,Richness,CmP6,CWM_WD,0.6904545454545455,1.2696108740065228,1.2696108740065228
CD04_Richness,PRIMARY_XAI,Richness,CmP5,CWM_WD,0.7284615384615385,0.8294679614106985,0.8294679614106985
