Experiment_ID,Selected_Model,Target,N_Plots,Mean_MAE,Median_MAE,Mean_RMSE,Mean_Prediction_SD,Median_Prediction_SD,High_Uncertainty_Plots,Moderate_Uncertainty_Plots,Low_Uncertainty_Plots
CD01_CWM_WD,RIDGE,CWM_WD,90,0.059647819559125646,0.0451466402818828,0.06030335109905496,0.006594089581965793,0.0058691776895179095,17,22,51
CD02_FDis,RANDOM_FOREST,FDis,90,0.17905622669109938,0.13077632216485824,0.1847834372008701,0.03966011689298473,0.034288151969415426,19,17,54
CD04_Richness,RANDOM_FOREST,Richness,90,1.921707116892367,1.7513068290043303,1.9802873659389932,0.4380760223306442,0.4135040014155662,19,21,50
