Plot_ID,Habitat,Zone,N_Primary_Models,N_High_Uncertainty_Models,N_Moderate_or_High_Models,Mean_MAE_Percentile,Mean_Prediction_SD_Percentile,High_Error_Model_Count,High_Instability_Model_Count,Uncertainty_Mechanism,Cross_Model_Uncertainty_Class,High_Uncertainty_Experiments
CmP6,Major River,Core,3,0,1,0.6,0.5925925925925926,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
CmP7,Major River,Core,3,1,2,0.5074074074074074,0.46296296296296297,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD04_Richness
CmP8,Major River,Core,3,0,0,0.45555555555555555,0.3111111111111111,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
CmP9,Major River,Core,3,0,0,0.3481481481481481,0.3185185185185185,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
CsP1,Stream,Core,3,0,1,0.20370370370370372,0.5703703703703704,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
CsP10,Stream,Core,3,0,2,0.637037037037037,0.7296296296296295,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,
CsP2,Stream,Core,3,1,1,0.3703703703703704,0.337037037037037,0,1,PREDOMINANTLY_INSTABILITY,SINGLE_MODEL_HIGH,CD04_Richness
CsP3,Stream,Core,3,0,0,0.25925925925925924,0.18888888888888888,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
CsP4,Stream,Core,3,0,0,0.2222222222222222,0.4333333333333333,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
CsP5,Stream,Core,3,1,2,0.35555555555555557,0.7074074074074074,0,1,PREDOMINANTLY_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD02_FDis
CsP6,Stream,Core,3,0,3,0.5703703703703703,0.5481481481481482,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,
CsP7,Stream,Core,3,0,2,0.7222222222222222,0.32962962962962966,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,
CsP8,Stream,Core,3,1,2,0.7407407407407408,0.4148148148148148,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD01_CWM_WD
CsP9,Stream,Core,3,1,1,0.35185185185185186,0.5518518518518519,0,1,PREDOMINANTLY_INSTABILITY,SINGLE_MODEL_HIGH,CD04_Richness
CuP1,Upland,Core,3,1,2,0.7037037037037037,0.8111111111111112,1,1,ERROR_AND_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD01_CWM_WD
CuP10,Upland,Core,3,0,0,0.45925925925925926,0.4259259259259259,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
CuP2,Upland,Core,3,0,1,0.39999999999999997,0.4666666666666666,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
CuP3,Upland,Core,3,1,2,0.8037037037037038,0.5925925925925927,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD04_Richness
CuP4,Upland,Core,3,0,2,0.611111111111111,0.5037037037037037,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,
CuP5,Upland,Core,3,0,1,0.5370370370370371,0.5740740740740741,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
CuP6,Upland,Core,3,0,3,0.5,0.7888888888888889,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,
CuP7,Upland,Core,3,0,0,0.6,0.48148148148148145,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
CuP8,Upland,Core,3,0,0,0.2740740740740741,0.6592592592592593,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
CuP9,Upland,Core,3,0,1,0.5370370370370371,0.4962962962962963,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
TmP1,Major River,Transition,3,0,1,0.7481481481481481,0.3333333333333333,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
TmP10,Major River,Transition,3,0,2,0.45925925925925926,0.5518518518518518,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,
TmP2,Major River,Transition,3,1,1,0.5851851851851851,0.40740740740740744,1,0,PREDOMINANTLY_ERROR,SINGLE_MODEL_HIGH,CD02_FDis
TmP3,Major River,Transition,3,0,0,0.28518518518518515,0.2518518518518518,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
TmP4,Major River,Transition,3,1,2,0.7111111111111111,0.6407407407407407,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD02_FDis
TmP5,Major River,Transition,3,2,2,0.21851851851851847,0.6259259259259259,0,2,PREDOMINANTLY_INSTABILITY,RECURRENT_HIGH,CD01_CWM_WD | CD02_FDis
TmP6,Major River,Transition,3,1,1,0.7555555555555555,0.6148148148148148,1,0,PREDOMINANTLY_ERROR,SINGLE_MODEL_HIGH,CD04_Richness
TmP7,Major River,Transition,3,0,0,0.35185185185185186,0.45555555555555555,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
TmP8,Major River,Transition,3,0,1,0.4407407407407407,0.31111111111111106,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
TmP9,Major River,Transition,3,0,1,0.5666666666666667,0.4703703703703704,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
TsP1,Stream,Transition,3,1,1,0.6481481481481481,0.4444444444444445,1,0,PREDOMINANTLY_ERROR,SINGLE_MODEL_HIGH,CD02_FDis
TsP10,Stream,Transition,3,0,1,0.3444444444444444,0.2518518518518518,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
TsP2,Stream,Transition,3,0,2,0.611111111111111,0.6407407407407407,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,
TsP3,Stream,Transition,3,2,2,0.3,0.762962962962963,0,2,PREDOMINANTLY_INSTABILITY,RECURRENT_HIGH,CD02_FDis | CD04_Richness
TsP4,Stream,Transition,3,2,2,0.6777777777777777,0.6555555555555556,0,2,PREDOMINANTLY_INSTABILITY,RECURRENT_HIGH,CD01_CWM_WD | CD02_FDis
TsP5,Stream,Transition,3,1,2,0.7444444444444445,0.5407407407407406,1,1,ERROR_AND_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD01_CWM_WD
TsP6,Stream,Transition,3,2,3,0.8000000000000002,0.3333333333333333,1,1,ERROR_AND_INSTABILITY,RECURRENT_HIGH,CD01_CWM_WD | CD04_Richness
TsP7,Stream,Transition,3,1,2,0.6074074074074074,0.32222222222222224,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD02_FDis
TsP8,Stream,Transition,3,1,2,0.6555555555555556,0.6296296296296297,0,1,PREDOMINANTLY_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD02_FDis
TsP9,Stream,Transition,3,1,2,0.6185185185185186,0.6925925925925925,1,1,ERROR_AND_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD01_CWM_WD
TuP1,Upland,Transition,3,1,1,0.4518518518518519,0.48888888888888893,1,0,PREDOMINANTLY_ERROR,SINGLE_MODEL_HIGH,CD02_FDis
TuP10,Upland,Transition,3,0,1,0.6037037037037037,0.46666666666666673,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
TuP2,Upland,Transition,3,1,2,0.6777777777777777,0.5703703703703704,0,1,PREDOMINANTLY_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD02_FDis
TuP3,Upland,Transition,3,2,2,0.8703703703703703,0.762962962962963,2,1,ERROR_AND_INSTABILITY,RECURRENT_HIGH,CD02_FDis | CD04_Richness
TuP4,Upland,Transition,3,1,2,0.3962962962962962,0.462962962962963,0,1,PREDOMINANTLY_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD02_FDis
TuP5,Upland,Transition,3,2,2,0.7666666666666666,0.8037037037037038,1,1,ERROR_AND_INSTABILITY,RECURRENT_HIGH,CD02_FDis | CD04_Richness
TuP6,Upland,Transition,3,1,1,0.45925925925925926,0.7111111111111111,1,0,PREDOMINANTLY_ERROR,SINGLE_MODEL_HIGH,CD02_FDis
TuP7,Upland,Transition,3,1,1,0.2814814814814815,0.6629629629629629,0,1,PREDOMINANTLY_INSTABILITY,SINGLE_MODEL_HIGH,CD01_CWM_WD
TuP8,Upland,Transition,3,0,0,0.30000000000000004,0.3,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
TuP9,Upland,Transition,3,1,1,0.637037037037037,0.5259259259259259,1,0,PREDOMINANTLY_ERROR,SINGLE_MODEL_HIGH,CD02_FDis
