Experiment_ID,Target,Selected_Model,Specification_ID,Mean_R2,SD_R2,Median_R2,Minimum_R2,Maximum_R2,Mean_RMSE,SD_RMSE,Mean_MAE,SD_MAE,Positive_R2_Fold_Rate,Null_Mean_R2,Mean_R2_Improvement_vs_Null,Locked_Primary_Specification
CD01_CWM_WD,CWM_WD,RIDGE,RIDGE_S01,0.336644467196846,0.16436371407537004,0.3596370097003807,-0.12457119335472111,0.6387952845798194,0.07435787432990237,0.011366908494621197,0.059591603649979355,0.010254682781048227,0.95,-0.0739748160255773,0.4106192832224233,False
CD01_CWM_WD,CWM_WD,RIDGE,RIDGE_S02,0.3370365293398669,0.16353293983563486,0.35914395162179336,-0.1258570772916654,0.6409320456412041,0.07434560160717144,0.011365012681283275,0.05961637126462811,0.010250867700477367,0.95,-0.0739748160255773,0.4110113453654442,False
CD01_CWM_WD,CWM_WD,RIDGE,RIDGE_S03,0.3374687700071378,0.162526460685996,0.3583560590881002,-0.12745870897287537,0.643469035209191,0.07433319718062247,0.011362931778225052,0.05964781955912565,0.010246545278965555,0.95,-0.0739748160255773,0.41144358603271514,True
CD01_CWM_WD,CWM_WD,RIDGE,RIDGE_S04,0.3381511664248727,0.16061372609684532,0.35907354248434065,-0.13064126615800387,0.648118188409334,0.07431763681676035,0.011359601819443678,0.05971635871627632,0.010237136763675467,0.96,-0.0739748160255773,0.41212598245045,False
CD01_CWM_WD,CWM_WD,RIDGE,RIDGE_S05,0.33693389429602477,0.14893089050035987,0.34733782349093895,-0.1548506404810217,0.6691805346749053,0.07453149059035312,0.011351472615151084,0.06039605413710939,0.010259178594575747,0.97,-0.0739748160255773,0.4109087103216021,False
CD02_FDis,FDis,RANDOM_FOREST,RF_S01,0.10424403801828289,0.3811525351880283,0.19168002429404352,-2.4427847585186857,0.6339274565612525,0.24138582656256274,0.059842817501517244,0.18432242638847576,0.03833412142226006,0.72,-0.0837136200316432,0.1879576580499261,False
CD02_FDis,FDis,RANDOM_FOREST,RF_S02,0.1336056878648394,0.30704930594798124,0.1888704653352981,-1.7122025303697295,0.5948981700766538,0.24107957318607867,0.06841294562893889,0.17905622669109938,0.041310378864103964,0.78,-0.0837136200316432,0.2173193078964826,True
CD02_FDis,FDis,RANDOM_FOREST,RF_S03,0.08234829242098138,0.25604004982024714,0.11973859565512507,-1.4744233003228393,0.5229666433336476,0.2513746554299384,0.07498684680770465,0.18501166665676422,0.04245293082138239,0.77,-0.0837136200316432,0.16606191245262458,False
CD02_FDis,FDis,RANDOM_FOREST,RF_S04,0.06329125300886634,0.3606764473919932,0.12001877744267542,-1.9967942080618863,0.6481547201065808,0.2485837313891578,0.06606139340459083,0.1845402807499259,0.040214733688996876,0.7,-0.0837136200316432,0.14700487304050955,False
CD02_FDis,FDis,RANDOM_FOREST,RF_S05,0.1336056878648394,0.3070493059479813,0.18887046533529817,-1.7122025303697295,0.5948981700766538,0.24107957318607867,0.06841294562893892,0.17905622669109938,0.04131037886410396,0.78,-0.0837136200316432,0.2173193078964826,False
CD04_Richness,Richness,RANDOM_FOREST,RF_S01,0.48034359821223455,0.1927573907752806,0.5174523943041682,-0.3570222727272727,0.7393533063170441,2.310877444419567,0.3590950328708958,1.9113522222222221,0.3173136105434012,0.97,-0.07554967518188511,0.5558932733941196,False
CD04_Richness,Richness,RANDOM_FOREST,RF_S02,0.47513717060077526,0.1778698276136135,0.5057467204565623,-0.282801150042445,0.7368239633637298,2.330676004508866,0.3578709659699775,1.921707116892367,0.31193262114765896,0.97,-0.07554967518188511,0.5506868457826604,True
CD04_Richness,Richness,RANDOM_FOREST,RF_S03,0.4705120777440574,0.1642399819707445,0.4915863004605046,-0.2277949450168122,0.7188630264810725,2.349451068760136,0.3686281886879374,1.9300985159147075,0.31489452267714524,0.98,-0.07554967518188511,0.5460617529259425,False
CD04_Richness,Richness,RANDOM_FOREST,RF_S04,0.4554467527763211,0.2081581089722977,0.4853614263654724,-0.3921179604306828,0.7461525893063041,2.3608406869524434,0.3692698445713839,1.937970261063011,0.31302844273311425,0.96,-0.07554967518188511,0.5309964279582062,False
CD04_Richness,Richness,RANDOM_FOREST,RF_S05,0.46817044051505513,0.1923118711841853,0.49907071186083474,-0.33568265953795273,0.7401597395264793,2.339048748550933,0.359254307056824,1.924820445776446,0.3069982540685521,0.97,-0.07554967518188511,0.5437201156969402,False
