Experiment_ID,Selected_Model,Target,Plot_ID,Observed,N_OOF_Predictions,Mean_OOF_Prediction,SD_OOF_Prediction,Min_OOF_Prediction,Max_OOF_Prediction,Mean_Error,Mean_Absolute_Error,RMSE,Habitat,Zone,Absolute_Bias,Prediction_Range,MAE_Percentile,Prediction_SD_Percentile,Uncertainty_Class
CD01_CWM_WD,RIDGE,CWM_WD,BmP1,0.54,20,0.5569071851144083,0.003542089613242462,0.5503974227516986,0.5627350167170387,0.01690718511440818,0.01690718511440818,0.01725607102963168,Major River,Buffer,0.01690718511440818,0.012337593965340177,0.18888888888888888,0.044444444444444446,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BmP10,0.5690000000000001,20,0.5539343589262801,0.002885270070135554,0.5462135918792299,0.5586176228083245,-0.015065641073719932,0.015065641073719932,0.015325863276530172,Major River,Buffer,0.015065641073719932,0.01240403092909459,0.15555555555555556,0.011111111111111112,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BmP2,0.6011764705882352,20,0.5453681075093225,0.0037295178448284064,0.5406321240516079,0.5548406271253017,-0.05580836307891268,0.05580836307891268,0.055926623603923135,Major River,Buffer,0.05580836307891268,0.014208503073693812,0.5777777777777777,0.05555555555555555,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BmP3,0.6069565217391304,20,0.5774091923640599,0.00406574391599736,0.5706209289187393,0.5841677341935015,-0.02954732937507054,0.02954732937507054,0.029811884091916305,Major River,Buffer,0.02954732937507054,0.013546805274762264,0.35555555555555557,0.13333333333333333,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BmP4,0.5711111111111111,20,0.5554135413930761,0.005443415878911239,0.5442481991300999,0.5655896475388067,-0.01569756971803505,0.01569756971803505,0.016569940635434245,Major River,Buffer,0.01569756971803505,0.021341448408706776,0.16666666666666666,0.36666666666666664,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BmP5,0.4599999999999999,20,0.43972894228896076,0.006305023853288386,0.42649876491872946,0.45076933718779055,-0.02027105771103918,0.02027105771103918,0.021182101884026753,Major River,Buffer,0.02027105771103918,0.024270572269061097,0.2222222222222222,0.5777777777777777,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BmP6,0.555,20,0.6239065223519586,0.008004781360939642,0.6070675940092828,0.6371421545924376,0.06890652235195867,0.06890652235195867,0.06934682055469886,Major River,Buffer,0.06890652235195867,0.03007456058315483,0.6333333333333333,0.7555555555555555,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,BmP7,0.5614285714285715,20,0.5352767588550262,0.005541726308859249,0.5218207054833813,0.5468876220340183,-0.02615181257354518,0.02615181257354518,0.026703791768960882,Major River,Buffer,0.02615181257354518,0.025066916550636975,0.32222222222222224,0.4,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BmP8,0.636470588235294,20,0.5097965694426686,0.004034363394317991,0.5008614680352813,0.5152426626733648,-0.12667401879262538,0.12667401879262538,0.12673503588460436,Major River,Buffer,0.12667401879262538,0.014381194638083517,0.9222222222222223,0.1111111111111111,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,BmP9,0.5781250000000001,20,0.6046607612985571,0.009298041323543331,0.5867466969782964,0.626301857921467,0.02653576129855692,0.02653576129855692,0.028040640533439933,Major River,Buffer,0.02653576129855692,0.039555160943170575,0.3333333333333333,0.8666666666666667,MODERATE
