Experiment_ID,Target,Habitat,N_Plots,Mean_MAE,Mean_RMSE,Mean_Prediction_SD,Mean_Bias,High_Uncertainty_Plots
CD01_CWM_WD,CWM_WD,Major River,30,0.05076660302845627,0.05137075996884602,0.0057997684775381135,-0.02258158310526913,3
CD01_CWM_WD,CWM_WD,Stream,30,0.07457873691892895,0.0752264981809572,0.006882225345374219,0.045370172680128835,9
CD01_CWM_WD,CWM_WD,Upland,30,0.05359811872999173,0.05431279514736166,0.007100274922985048,-0.021476883477396583,5
CD02_FDis,FDis,Major River,30,0.162522521743791,0.16781247035133198,0.0318909360943918,0.07119818002672006,5
CD02_FDis,FDis,Stream,30,0.16820080874757581,0.1750805811370787,0.04521883176262039,0.010023622957371981,7
CD02_FDis,FDis,Upland,30,0.20644534958193136,0.21145726011419966,0.04187058282194201,-0.05388289700833103,7
CD04_Richness,Richness,Major River,30,1.8748613716006217,1.9393498379901615,0.4367526587485048,-0.1170051149868649,6
CD04_Richness,Richness,Stream,30,2.044602676850927,2.104928871727313,0.4511281420961878,0.07887066610241605,8
CD04_Richness,Richness,Upland,30,1.845657302225552,1.896583388099505,0.42634726614723994,0.20154854722129706,5
