Experiment_ID,Predictor_Domain,Target_Domain,Target,Leakage_Status,Metric,Ridge_Mean,Ridge_SD,Ridge_Median,Null_Mean,Mean_Improvement,Proportion_Folds_Better_Than_Null
CD04_Richness,FUNCTIONAL_COMPOSITION,TAXONOMIC,Richness,ELIGIBLE,R2,0.3111484680213747,0.22279554191828563,0.350266314942116,-0.07554967518188511,0.38669814320325985,0.97
CD04_Richness,FUNCTIONAL_COMPOSITION,TAXONOMIC,Richness,ELIGIBLE,RMSE,2.6748303658441586,0.3964900847480827,2.6743977588154744,3.397972779336401,0.7231424134922426,0.97
CD05_FDis,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FDis,ELIGIBLE_WITH_CAUTION,MAE,0.19543395953201909,0.04025326375866871,0.19188345340298568,0.19874227691935084,0.0033083173873317308,0.53
CD05_FDis,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FDis,ELIGIBLE_WITH_CAUTION,R2,-0.06556740750790725,0.34691903609172736,-0.017677874421977213,-0.0837136200316432,0.018146212523735956,0.59
CD05_FDis,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FDis,ELIGIBLE_WITH_CAUTION,RMSE,0.2679352955904559,0.07641039177841773,0.25438416834955396,0.27579122449914584,0.007855928908689946,0.59
CD05_FEve,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FEve,ELIGIBLE_WITH_CAUTION,MAE,0.06266540353559825,0.013174240666599585,0.06159357842979601,0.0642923870316549,0.0016269834960566424,0.62
CD05_FEve,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FEve,ELIGIBLE_WITH_CAUTION,R2,-0.07726060000658519,0.3064240376897664,-0.005500449584246225,-0.078437868058859,0.0011772680522738144,0.59
CD05_FEve,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FEve,ELIGIBLE_WITH_CAUTION,RMSE,0.08274873133181257,0.01831056541673286,0.07946386326208672,0.08391864114093417,0.0011699098091215937,0.59
CD06_Estimated_Mean_DBH,FUNCTIONAL_COMPOSITION,STRUCTURAL,Estimated_Mean_DBH,ELIGIBLE,MAE,4.792764901312482,1.0570400128263697,4.559063684378394,4.8684153862285395,0.07565048491605898,0.61
CD06_Estimated_Mean_DBH,FUNCTIONAL_COMPOSITION,STRUCTURAL,Estimated_Mean_DBH,ELIGIBLE,R2,-0.11656693690287784,0.16504697583448652,-0.08867991815025511,-0.09400902920660487,-0.022557907696272958,0.42
