Experiment_ID,Final_Role,Predictor_Domain,Target_Domain,Target,Selected_Model,Validated_CV_R2,Fold_Win_Rate_vs_Null,Top_Permutation_Predictor,Top_Permutation_Relative_Importance,Top_SHAP_Predictor,Top_SHAP_Direction,Top_Ridge_Predictor,Top_Ridge_Direction,Primary_Transition_Detected,Primary_Transition_Value,Transition_Evidence_Class,Bootstrap_Transition_Stability,Bootstrap_Transition_Median,Bootstrap_Transition_IQR
CD04_Richness,PRIMARY_XAI,FUNCTIONAL_COMPOSITION,TAXONOMIC,Richness,RANDOM_FOREST,0.47513717060077526,0.98,CWM_WD,0.5904637933422351,CWM_WD,GENERALLY_POSITIVE,,,True,0.5299999999999999,HIGH,MODERATELY_STABLE_TRANSITION,0.5682500000000001,0.5300–0.6078
CD01_CWM_WD,PRIMARY_XAI,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_WD,RIDGE,0.3374687700071378,1.0,Richness,0.9054397126878327,,,Richness,POSITIVE,False,,,,,
CD02_FDis,PRIMARY_XAI,TAXONOMIC,FUNCTIONAL_DIVERSITY,FDis,RANDOM_FOREST,0.13360568786483934,0.9,Richness,0.5064444042389511,Pielou,GENERALLY_POSITIVE,,,True,0.94,DESCRIPTIVE,,,
CD01_CWM_SLA,SENSITIVITY_XAI,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_SLA,RANDOM_FOREST,0.14491938390713452,0.87,Richness,0.640719784613263,Richness,GENERALLY_NEGATIVE,,,False,,,,,
