Target,Metric,Null_Mean,Context_Mean,Context_Improvement
PC1,MAE,1.3302834453853873,1.239183751195529,0.0910996941898583
PC1,R2,-0.09622203823590114,0.007469115424254022,0.10369115366015516
PC1,RMSE,1.6264644182863288,1.5388500196905581,0.08761439859577069
PC2,MAE,1.2856912775576768,0.6402050156822845,0.6454862618753923
PC2,R2,-0.10063599955905118,0.598332116647299,0.6989681162063502
PC2,RMSE,1.4820810868228431,0.8760409615566529,0.6060401252661902
