Experiment_ID,Target,Selected_Model,N_Specifications,Locked_Primary_Mean_R2,Minimum_Mean_R2,Mean_Across_Specifications_R2,Median_Mean_R2,Maximum_Mean_R2,Mean_R2_Range,Best_Specification,Best_Specification_Mean_R2,Worst_Specification,Worst_Specification_Mean_R2,All_Specifications_Above_Null,All_Specifications_Positive_R2,Minimum_Positive_R2_Fold_Rate,Specification_Robustness_Class
CD01_CWM_WD,CWM_WD,RIDGE,5,0.3374687700071378,0.336644467196846,0.33724696545294963,0.3370365293398669,0.3381511664248727,0.0015066992280267089,RIDGE_S04,0.3381511664248727,RIDGE_S01,0.336644467196846,True,True,0.95,HIGH_SPECIFICATION_ROBUSTNESS
CD02_FDis,FDis,RANDOM_FOREST,5,0.1336056878648394,0.06329125300886634,0.10341899183556187,0.10424403801828289,0.1336056878648394,0.07031443485597305,RF_S02,0.1336056878648394,RF_S04,0.06329125300886634,True,True,0.7,HIGH_SPECIFICATION_ROBUSTNESS
CD04_Richness,Richness,RANDOM_FOREST,5,0.47513717060077526,0.4554467527763211,0.4699220079696887,0.4705120777440574,0.48034359821223455,0.024896845435913473,RF_S01,0.48034359821223455,RF_S04,0.4554467527763211,True,True,0.96,HIGH_SPECIFICATION_ROBUSTNESS
