Experiment_ID,Target,Selected_Model,Locked_Primary_Mean_R2,Minimum_Mean_R2,Median_Mean_R2,Maximum_Mean_R2,Mean_R2_Range,All_Specifications_Above_Null,All_Specifications_Positive_R2,Specification_Robustness_Class,N_Plots,Mean_MAE,Mean_RMSE,Mean_Prediction_SD,High_Uncertainty_Plots,Moderate_Uncertainty_Plots,Low_Uncertainty_Plots
CD01_CWM_WD,CWM_WD,RIDGE,0.3374687700071378,0.336644467196846,0.3370365293398669,0.3381511664248727,0.0015066992280267089,True,True,HIGH_SPECIFICATION_ROBUSTNESS,90,0.059647819559125646,0.06030335109905496,0.006594089581965793,17,22,51
CD02_FDis,FDis,RANDOM_FOREST,0.1336056878648394,0.06329125300886634,0.10424403801828289,0.1336056878648394,0.07031443485597305,True,True,HIGH_SPECIFICATION_ROBUSTNESS,90,0.17905622669109938,0.1847834372008701,0.03966011689298473,19,17,54
CD04_Richness,Richness,RANDOM_FOREST,0.47513717060077526,0.4554467527763211,0.4705120777440574,0.48034359821223455,0.024896845435913473,True,True,HIGH_SPECIFICATION_ROBUSTNESS,90,1.921707116892367,1.9802873659389932,0.4380760223306442,19,21,50
