Provenance_Class,N_Taxa,Mean_SLA,SD_SLA,Min_SLA,Median_SLA,Max_SLA,Percent_of_Taxa
FAMILY_ESTIMATE,30,16.73398294523031,2.709922799454261,9.9,16.8588654975,22.37467387,23.62204724409449
GENUS_ESTIMATE,38,17.537483043630345,9.506269572559745,3.11,15.1485,48.909,29.92125984251969
GENUS_LITERATURE_ESTIMATE,1,12.0,,12.0,12.0,12.0,0.7874015748031495
SPECIES_LITERATURE,12,18.283458333333332,9.110989581664384,7.375,22.22,29.755,9.448818897637794
SPECIES_TRY,46,14.692256522456065,4.01067183519925,3.11,14.93081338,24.0,36.22047244094488
