Max_Height_Provenance_Class,N_Taxa,Mean_Max_Height_m,SD_Max_Height_m,Min_Max_Height_m,Median_Max_Height_m,Max_Max_Height_m,Percent_of_127_Taxa
SPECIES_GIFT,99,24.920679606939395,12.41409736204979,2.438429651,24.38429651,60.96074128,77.95275590551181
SPECIES_REFERENCE,17,36.30305882352941,14.53084577919756,13.0,30.0,60.0,13.385826771653544
GENUS_GIFT_MEDIAN,6,14.7583719425,1.9611025889824538,12.19214826,15.0,18.0,4.724409448818897
SPECIES_BIEN,3,44.82,13.497699804040687,34.17,40.29,60.0,2.3622047244094486
GENUS_GIFT_SINGLE_SPECIES_PROXY,1,45.72055596,,45.72055596,45.72055596,45.72055596,0.7874015748031495
SPECIES_COMPLEX_REFERENCE,1,15.0,,15.0,15.0,15.0,0.7874015748031495
