Seed_Mass_Assignment_Level,Seed_Mass_Provenance_Class,N_Taxa,N_Numeric,Mean_Seed_Mass_mg,Median_Seed_Mass_mg,Min_Seed_Mass_mg,Max_Seed_Mass_mg,Percent_of_127_Taxa
BIOLOGICAL_NONAPPLICABILITY,SPECIAL_BIOLOGICAL_CASE,1,0,,,,,0.7874015748031495
FAMILY_LEVEL,FAMILY_ESTIMATE,2,2,420.2402170187904,420.2402170187904,420.2402170187904,420.2402170187904,1.574803149606299
GENUS_LEVEL,GENUS_ESTIMATE,2,2,457.5,457.5,83.5,831.5,1.574803149606299
GLOBAL_TRAIT_LEVEL,GLOBAL_FALLBACK_ESTIMATE,34,34,131.18999999999997,131.18999999999997,131.18999999999997,131.18999999999997,26.77165354330709
SPECIES_LEVEL,SPECIES_BIEN,28,28,933.4591785714285,270.35,1.565,5898.0,22.04724409448819
SPECIES_LEVEL,SPECIES_EXTERNAL_RESCUE,14,14,3345.9975314685316,1365.9837692307692,30.303030303030305,16666.666666666668,11.023622047244094
SPECIES_LEVEL,SPECIES_TRY,46,46,499.0160935086957,67.439746,0.3891,4213.08,36.22047244094488
