Species,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,Plot9,Plot10,Frequency,Individuals,Density,Relative_Density,Relative_Frequency,RIV,Zone,Habitat,Taxonomic_Resolution,Family,Genus,Taxonomic_Status
Bambusa vulgaris,1.0,1.0,,,,,,,2.0,1.0,4,5,0.0068,3.6496,4.9382,4.2939,Transition,Major River,Species,Poaceae,Bambusa,ACCEPTED
Blighia sapida,1.0,,,,,,2.0,,1.0,,3,4,0.0057,2.9197,3.7037,3.3117,Transition,Major River,Species,Sapindaceae,Blighia,ACCEPTED
Chrysophyllum albidum,,1.0,,,,1.0,,,1.0,,3,3,0.0041,2.1897,3.7037,2.9467,Transition,Major River,Species,Sapotaceae,Chrysophyllum,SYNONYM
Cleistopholis patens,,,,,2.0,,,2.0,,,2,4,0.0055,2.9197,2.4691,2.6944,Transition,Major River,Species,Annonaceae,Cleistopholis,ACCEPTED
Cola nitida,,,,,1.0,,1.0,1.0,,2.0,4,5,0.0068,3.6496,4.9382,4.2939,Transition,Major River,Species,Malvaceae,Cola,ACCEPTED
Corynanthe pachyceras,,,5.0,,,3.0,,,,1.0,3,9,0.0124,6.5693,3.7037,5.1365,Transition,Major River,Species,Rubiaceae,Corynanthe,ACCEPTED
Diospyros dendo,,,1.0,,,,,,,2.0,2,3,0.0041,2.1897,2.4691,2.3294,Transition,Major River,Species,Ebenaceae,Diospyros,ACCEPTED
Elaeis guineensis,,1.0,,,,,1.0,,2.0,,3,4,0.0057,2.9197,3.7037,3.3117,Transition,Major River,Species,Arecaceae,Elaeis,ACCEPTED
Ficus exasperata,,2.0,2.0,,,1.0,,1.0,,1.0,5,7,0.0096,5.1094,6.1728,5.6411,Transition,Major River,Species,Moraceae,Ficus,ACCEPTED
Holarrhena floribunda,,,1.0,,,,,,1.0,,2,2,0.0027,1.4598,2.4691,1.9644,Transition,Major River,Species,Apocynaceae,Holarrhena,ACCEPTED
Lonchocarpus cyanescens,,,,,,1.0,1.0,,1.0,,3,3,0.0041,2.1897,3.7037,2.9467,Transition,Major River,Species,Fabaceae,Lonchocarpus,SYNONYM
Macaranga barteri,,,5.0,,,,,,2.0,,2,7,0.0096,5.1094,2.4691,3.7893,Transition,Major River,Species,Euphorbiaceae,Macaranga,ACCEPTED
Mitragyna ciliata,,,5.0,,,,,3.0,,,2,8,0.011,5.8394,2.4691,4.1542,Transition,Major River,Species,Rubiaceae,Mitragyna,ACCEPTED
Musanga cecropioides,,4.0,,,,,,,,,1,4,0.0055,2.9197,1.2345,2.0771,Transition,Major River,Species,Urticaceae,Musanga,ACCEPTED
Pycnanthus angolensis,2.0,,,1.0,,1.0,1.0,,1.0,1.0,6,7,0.0096,5.1094,7.4074,6.2584,Transition,Major River,Species,Myristicaceae,Pycnanthus,ACCEPTED
Rauvolfia vomitoria,,,4.0,,,,1.0,,,,2,5,0.0068,3.6496,2.4691,3.0593,Transition,Major River,Species,Apocynaceae,Rauvolfia,ACCEPTED
Ricinodendron heudelotii,,,,1.0,,1.0,,1.0,,,3,3,0.0041,2.1897,3.7037,2.9467,Transition,Major River,Species,Euphorbiaceae,Ricinodendron,ACCEPTED
Spondias mombin,,,,,,,1.0,,,1.0,2,2,0.0027,1.4598,2.4691,1.9644,Transition,Major River,Species,Anacardiaceae,Spondias,ACCEPTED
Strombosia pustulata,1.0,,1.0,,,1.0,,1.0,,,4,4,0.0055,2.9197,4.9382,3.9289,Transition,Major River,Species,Strombosiaceae,Strombosia,ACCEPTED
Terminalia superba,,,,1.0,,1.0,,,,2.0,3,4,0.0055,2.9197,3.7037,3.3117,Transition,Major River,Species,Combretaceae,Terminalia,ACCEPTED
Tetrapleura tetraptera,1.0,,,,,1.0,,,,,2,2,0.0027,1.4598,2.4691,1.9644,Transition,Major River,Species,Fabaceae,Tetrapleura,ACCEPTED
Trichilia monadelpha,,,6.0,,,3.0,1.0,,,3.0,4,13,0.0179,9.489,4.9382,7.2136,Transition,Major River,Species,Meliaceae,Trichilia,ACCEPTED
Uapaca heudelotii,,1.0,,,,1.0,,,,,2,2,0.0027,1.4598,2.4691,1.9644,Transition,Major River,Species,Phyllanthaceae,Uapaca,ACCEPTED
Albizia zygia,,,1.0,,,,1.0,,,,2,2,0.0027,0.9569,3.2258,2.0914,Transition,Stream,Species,Fabaceae,Albizia,ACCEPTED
Alstonia boonei,,1.0,1.0,4.0,,1.0,4.0,3.0,,4.0,7,18,0.0248,8.6124,11.29,9.9514,Transition,Stream,Species,Apocynaceae,Alstonia,ACCEPTED
Anthocleista vogelii,1.0,,1.0,14.0,12.0,,7.0,12.0,1.0,3.0,8,51,0.0703,24.401,12.903,18.653,Transition,Stream,Species,Gentianaceae,Anthocleista,ACCEPTED
Bombax buonopozense,,1.0,,,,1.0,,,11.0,,3,13,0.0179,6.2201,4.8387,5.5294,Transition,Stream,Species,Malvaceae,Bombax,ACCEPTED
Bridelia ferruginea,1.0,,2.0,,,2.0,1.0,,,1.0,5,7,0.0096,3.3492,8.0645,5.7069,Transition,Stream,Species,Phyllanthaceae,Bridelia,ACCEPTED
Cleistopholis patens,4.0,2.0,,7.0,11.0,4.0,5.0,9.0,4.0,3.0,9,49,0.0675,23.445,14.516,18.981,Transition,Stream,Species,Annonaceae,Cleistopholis,ACCEPTED
Elaeis guineensis,2.0,4.0,,,,4.0,,,4.0,,4,14,0.0193,6.6985,6.4516,6.5751,Transition,Stream,Species,Arecaceae,Elaeis,ACCEPTED
Ficus mucuso,6.0,3.0,1.0,,,5.0,,,8.0,1.0,6,24,0.0331,11.483,9.6774,10.58,Transition,Stream,Species,Moraceae,Ficus,ACCEPTED
Gmelina arborea,,,2.0,1.0,1.0,,2.0,2.0,,1.0,6,9,0.0124,4.3062,9.6774,6.9918,Transition,Stream,Species,Lamiaceae,Gmelina,ACCEPTED
Harungana madagascariensis,,,,,,1.0,,,,1.0,2,2,0.0027,0.9569,3.2258,2.0914,Transition,Stream,Species,Hypericaceae,Harungana,ACCEPTED
Macaranga barteri,1.0,,,,,1.0,,,,,2,2,0.0027,0.9569,3.2258,2.0914,Transition,Stream,Species,Euphorbiaceae,Macaranga,ACCEPTED
Nauclea diderrichii,3.0,,,,,,,,1.0,,2,4,0.0055,1.9138,3.2258,2.5698,Transition,Stream,Species,Rubiaceae,Nauclea,ACCEPTED
Terminalia superba,,1.0,4.0,,,1.0,2.0,,,3.0,5,11,0.0151,5.2631,8.0645,6.6638,Transition,Stream,Species,Combretaceae,Terminalia,ACCEPTED
Theobroma cacao,,1.0,,,,1.0,,,1.0,,3,3,0.0041,1.4354,4.8387,3.1371,Transition,Stream,Species,Malvaceae,Theobroma,ACCEPTED
Artocarpus communis,,,,,5.0,,,,2.0,,2,7,0.009655,7.77778,4.0,5.888889,Transition,Upland,Species,Moraceae,Artocarpus,SYNONYM
Bambusa vulgaris,,,,,,1.0,,1.0,,,2,2,0.002759,2.22222,4.0,3.111111,Transition,Upland,Species,Poaceae,Bambusa,ACCEPTED
Bombax buonopozense,,1.0,,,,,,,,1.0,2,2,0.002759,2.22222,4.0,3.111111,Transition,Upland,Species,Malvaceae,Bombax,ACCEPTED
Carica papaya,,,,1.0,,,,1.0,,,2,2,0.002759,2.22222,4.0,3.111111,Transition,Upland,Species,Caricaceae,Carica,ACCEPTED
Ceiba pentandra,1.0,,,,,1.0,,,1.0,,3,3,0.004138,3.33333,6.0,4.666667,Transition,Upland,Species,Malvaceae,Ceiba,ACCEPTED
Chrysophyllum albidum,,,,,,1.0,,,,,1,1,0.001379,1.11111,2.0,1.555556,Transition,Upland,Species,Sapotaceae,Chrysophyllum,SYNONYM
Citrus sinensis,,,,1.0,,,,,,,1,1,0.001379,1.11111,2.0,1.555556,Transition,Upland,Species,Rutaceae,Citrus,SYNONYM
Cola nitida,,,,,3.0,,1.0,,,1.0,3,5,0.006897,5.55556,6.0,5.777778,Transition,Upland,Species,Malvaceae,Cola,ACCEPTED
Dracaena mannii,1.0,,,,,,,1.0,,1.0,3,3,0.004138,3.33333,6.0,4.666667,Transition,Upland,Species,Asparagaceae,Dracaena,ACCEPTED
Elaeis guineensis,2.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,,1.0,9,19,0.026207,21.1111,18.0,19.55556,Transition,Upland,Species,Arecaceae,Elaeis,ACCEPTED
Ficus exasperata,,,,1.0,,,1.0,1.0,1.0,,4,4,0.005517,4.44444,8.0,6.222222,Transition,Upland,Species,Moraceae,Ficus,ACCEPTED
Ficus mucuso,,1.0,,,,1.0,,,,,2,2,0.002759,2.22222,4.0,3.111111,Transition,Upland,Species,Moraceae,Ficus,ACCEPTED
Musa sapientum,,,,2.0,,,,,,,1,2,0.002759,2.22222,2.0,2.111111,Transition,Upland,Species,Musaceae,Musa,SYNONYM
Rauvolfia vomitoria,2.0,,,,,,1.0,,,,2,3,0.004138,3.33333,4.0,3.666667,Transition,Upland,Species,Apocynaceae,Rauvolfia,ACCEPTED
Ricinodendron heudelotii,1.0,,,,,1.0,,,,1.0,3,3,0.004138,3.33333,6.0,4.666667,Transition,Upland,Species,Euphorbiaceae,Ricinodendron,ACCEPTED
Theobroma cacao,,3.0,5.0,5.0,,1.0,5.0,3.0,4.0,2.0,8,28,0.038621,31.1111,16.0,23.55556,Transition,Upland,Species,Malvaceae,Theobroma,ACCEPTED
Trema orientalis,,2.0,,,,,,,,,1,2,0.002759,2.22222,2.0,2.111111,Transition,Upland,Species,Cannabaceae,Trema,SYNONYM
Uapaca heudelotii,,,,,,1.0,,,,,1,1,0.001379,1.11111,2.0,1.555556,Transition,Upland,Species,Phyllanthaceae,Uapaca,ACCEPTED
