Species,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,Plot9,Plot10,Frequency,Individuals,Density,Relative_Density,Relative_Frequency,RIV,Zone,Habitat
Nothospondia staudtii,,,,,3.0,,,,,3.0,2,6,0.00828,2.71493,1.81818,2.2666,Buffer,Stream
Nuclea diderrichi,,,,,1.0,,,,,,1,1,0.00138,0.45249,0.90909,0.6808,Buffer,Stream
Pterocarpus osun,,,,1.0,,,,,,,1,1,0.00138,0.45249,0.90909,0.6808,Buffer,Stream
Rauvolvia vomitoria,1.0,,,,,,,,,,1,1,0.00138,0.45249,0.90909,0.6808,Buffer,Stream
Rothmania hispida,,,,1.0,,,,,1.0,,2,2,0.00276,0.90498,1.81818,1.3616,Buffer,Stream
Spondia mombin,1.0,,,,,1.0,,,1.0,,3,3,0.00414,1.35747,2.72727,2.0424,Buffer,Stream
Sterculia oblonga,,,,,1.0,,,,1.0,,2,3,0.00414,1.35747,1.81818,1.5878,Buffer,Stream
Sterculia rhinopetala,,,,,1.0,,,,1.0,,2,2,0.00276,0.90498,1.81818,1.3616,Buffer,Stream
Strombosia pustulata,,,,2.0,,,1.0,1.0,,,4,4,0.00552,1.80995,3.63636,2.7232,Buffer,Stream
Terminalia superba,,,,,1.0,,,1.0,1.0,,3,3,0.00414,1.35747,2.72727,2.0424,Buffer,Stream
33,,,,,,,,,,,110,221,0.3536,100.0,100.0,100.0,Buffer,Stream
Albizia auxilary,1.0,,,,,1.0,,1.0,,,3,3,0.0041,1.30435,2.586207,1.945277,Buffer,Upland
Alstonei boonei,1.0,,,,1.0,,1.0,1.0,2.0,1.0,6,7,0.0096,3.04348,5.172414,4.107946,Buffer,Upland
Annonidium manni,,,,6.0,2.0,2.0,2.0,,1.0,1.0,6,14,0.0193,6.08696,5.172414,5.629685,Buffer,Upland
Blighia sapida,,,,1.0,,,1.0,1.0,,,3,3,0.0041,1.30435,2.586207,1.945277,Buffer,Upland
Blighia unijigata,,1.0,,,,,,,1.0,1.0,3,3,0.0041,1.30435,2.586207,1.945277,Buffer,Upland
Celtis zenkeri,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,9,12,0.0165,5.21739,7.758621,6.488006,Buffer,Upland
Cleistoformis patens,1.0,,,,1.0,,,1.0,1.0,,4,4,0.0055,1.73913,3.448276,2.593703,Buffer,Upland
Dialium guineense,,1.0,1.0,,,1.0,1.0,2.0,,1.0,6,7,0.0096,3.04348,5.172414,4.107946,Buffer,Upland
Diospyros dendo,,3.0,9.0,9.0,1.0,,2.0,3.0,3.0,3.0,8,33,0.0455,14.3478,6.896552,10.62219,Buffer,Upland
Diospyros soubreana,,,,1.0,,3.0,,,2.0,,3,6,0.0082,2.6087,2.586207,2.597451,Buffer,Upland
Diospyros undebunda,1.0,,,,,,,1.0,,,2,2,0.0027,0.86957,1.724138,1.296852,Buffer,Upland
Funtumia elastica,,1.0,,,6.0,,1.0,,1.0,1.0,5,11,0.0151,4.78261,4.310345,4.546477,Buffer,Upland
Garcinia kola,,,,1.0,,,,1.0,,1.0,3,3,0.0041,1.30435,2.586207,1.945277,Buffer,Upland
Holarrhena floribunda,,,2.0,,,,,1.0,,,2,3,0.0041,1.30435,1.724138,1.514243,Buffer,Upland
lecaniodiscus cupaniodes,,1.0,,,,1.0,,,,1.0,3,3,0.0041,1.30435,2.586207,1.945277,Buffer,Upland
Milicia excelsa,,,,,1.0,1.0,,,,,2,2,0.0027,0.86957,1.724138,1.296852,Buffer,Upland
Musanga cecropoidies,1.0,,,1.0,,1.0,1.0,,,1.0,5,5,0.0068,2.17391,4.310345,3.242129,Buffer,Upland
Myrianthus arboreus,1.0,,,,,,,,,,1,1,0.0013,0.4347,0.862,0.6484,Buffer,Upland
Nesodogornia papaverifera,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,8,11,0.0151,4.7826,6.8965,5.8395,Buffer,Upland
Piptadeniastrum africanum,,1.0,,,,,1.0,,,1.0,3,3,0.0041,1.3043,2.5862,1.9452,Buffer,Upland
