Species_1,Species_2,Similarity,Occurrences_1,Occurrences_2,Suggested_Name,Approved_Name,Status
Musanga Cecropioides,Musanga Cecropoidies,0.95,,,Musanga Cecropoidies,,Pending
Musanga Cecropiodes,Musanga Cecropoides,0.9473684210526315,,,Musanga Cecropoides,,Pending
Musanga Cecropoides,Musanga Cecropiodes,0.9473684210526315,,,Musanga Cecropiodes,,Pending
Scotellia Coriaceae,Scotellia Coricea,0.9444444444444444,,,Scotellia Coricea,,Pending
Scotellia Coricea,Scotellia Coriaceae,0.9444444444444444,,,Scotellia Coriaceae,,Pending
Nauclea Diderrichii,Nuclea Diderrichi,0.9444444444444444,,,Nuclea Diderrichi,,Pending
Nuclea Diderrichi,Nauclea Diderrichii,0.9444444444444444,,,Nauclea Diderrichii,,Pending
Homalium Aylmeri,Homalium Alymeri,0.9375,,,Homalium Alymeri,,Pending
Homalium Alymeri,Homalium Aylmeri,0.9375,,,Homalium Aylmeri,,Pending
Macaranga Barteri,Macranga Bateri,0.9375,,,Macranga Bateri,,Pending
Macranga Bateri,Macaranga Barteri,0.9375,,,Macaranga Barteri,,Pending
Ricinidendron Heudeloti,Ricinodendron Heudelotii,0.9361702127659575,,,Ricinodendron Heudelotii,,Pending
Ricinodendron Heudelotii,Ricinidendron Heudeloti,0.9361702127659575,,,Ricinidendron Heudeloti,,Pending
Alstonia Boonei,Alstonei Boonei,0.9333333333333333,,,Alstonei Boonei,,Pending
Alstonei Boonei,Alstonia Boonei,0.9333333333333333,,,Alstonia Boonei,,Pending
Strombosia Postulata,Strombosia Putulata,0.9230769230769231,,,Strombosia Putulata,,Pending
Strombosia Putulata,Strombosia Postulata,0.9230769230769231,,,Strombosia Postulata,,Pending
Musanga Cecropiodes,Musanga Cecropoidies,0.9230769230769231,,,Musanga Cecropoidies,,Pending
Musanga Cecropoidies,Musanga Cecropiodes,0.9230769230769231,,,Musanga Cecropiodes,,Pending
Raulvolfia Vomitoria,Rauvolvia Vomitoria,0.9230769230769231,,,Rauvolvia Vomitoria,,Pending
Rauvolvia Vomitoria,Raulvolfia Vomitoria,0.9230769230769231,,,Raulvolfia Vomitoria,,Pending
Nesogordonia Papaverifera,Nesodogornia Papaverifera,0.92,,,Nesodogornia Papaverifera,,Pending
Nesodogornia Papaverifera,Nesogordonia Papaverifera,0.92,,,Nesogordonia Papaverifera,,Pending
Ricinodendron Heudeotii,Ricinidendron Heudeloti,0.9130434782608695,,,Ricinidendron Heudeloti,,Pending
Ricinidendron Heudeloti,Ricinodendron Heudeotii,0.9130434782608695,,,Ricinodendron Heudeotii,,Pending
Elaeis Guineense,Elaeis Guineensis,0.9090909090909091,,,Elaeis Guineensis,,Pending
Elaeis Guineensis,Elaeis Guineense,0.9090909090909091,,,Elaeis Guineense,,Pending
