Plot_ID,Zone,Habitat,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CmP1,Core,Major River,0.1653642781628116,0.5641289239191153,-0.052891345254648524,0.7922215709455251,0.20475974809025665,-0.40127142171527486,-0.3914158614216238,0.39310657520153236,-0.06970539701861814,0.32195970321034467
CmP2,Core,Major River,-0.39118950275918846,2.151610169631717,-0.4894711097782773,0.4373556953181787,0.6687985487916006,-1.3282561321823887,-0.19549823495428867,0.7992706888760126,0.10605404825102586,-0.10788539076091991
CmP3,Core,Major River,0.5996746537591574,0.8697237802113239,0.07545342970057729,1.0287611705602577,0.9361574043915976,-0.6428752499237288,0.32962906231689426,0.07502379242365137,0.11605248565897396,0.11738556231453792
CmP4,Core,Major River,-0.30733600165550795,1.601497393777791,0.5241857607566119,0.33146819044951126,0.6284553778778582,-0.45860393848478365,0.2567098090379312,-0.7889456406537795,-0.9796170555954047,0.4218424929648376
CmP5,Core,Major River,-1.1926154216971385,2.246421581365673,0.3522741135486233,0.24927216766996435,1.2929620708272234,1.3881573075750602,0.24314699478417512,-0.3864308284177785,-0.5025187002710433,0.7707107651797774
CmP6,Core,Major River,-0.9363373336204913,2.597452573002013,0.40416082735096476,1.0131574938347139,0.4053370319255393,0.3321328101090966,-0.17576720531261486,0.18330583942582668,-0.07482307175159325,-0.3098093740595321
CmP7,Core,Major River,0.6755148572523817,1.3347786743180707,0.5837541531811714,1.2766011380353248,0.2876441647197516,-0.6822010756630136,-0.8201067479558916,0.210664097287185,0.06120412042463596,-0.44799445241199537
CmP8,Core,Major River,-0.11399790688926259,1.3066650414495868,-0.13432192312665447,0.405843655279545,-0.1453302657481975,0.05169492604122403,0.15381111464822828,-0.029203873099778205,0.04519947894372486,0.1696261195804819
CmP9,Core,Major River,0.029113748681466385,1.48806372437428,-0.5660982231951652,0.38735026483486507,-0.5248198348783165,-0.36557075255783184,0.17484902748777761,0.3001377621976306,0.3903955193370502,-0.20574899878528602
CmP10,Core,Major River,-0.43918725876111375,2.075451329623845,-0.4243610066729992,0.6090579080813638,-0.12041634622488381,0.04443489263290949,-0.5054388249370131,0.020714339312369354,0.005884897825918857,0.07367744458234973
CsP1,Core,Stream,3.110934235650688,-0.389937597680038,-1.38077963546904,-0.1396010964793316,-0.6223139889187483,0.5730023909732667,0.3740540599813194,-0.8371358526460384,0.6248784638528511,-0.27084468096085523
