Typology_ID,Habitat,N_Plots,Cluster_Total,Percent_of_Cluster,Overall_Proportion,Cluster_Proportion,Enrichment_Ratio
T1,Major River,10,26,38.46153846153846,0.35365853658536583,0.3846153846153846,1.0875331564986737
T1,Stream,4,26,15.384615384615385,0.3170731707317073,0.15384615384615385,0.485207100591716
T1,Upland,12,26,46.15384615384615,0.32926829268292684,0.4615384615384615,1.4017094017094016
T2,Major River,13,30,43.333333333333336,0.35365853658536583,0.43333333333333335,1.2252873563218392
T2,Stream,12,30,40.0,0.3170731707317073,0.4,1.2615384615384615
T2,Upland,5,30,16.666666666666668,0.32926829268292684,0.16666666666666669,0.5061728395061729
T3,Major River,3,13,23.076923076923077,0.35365853658536583,0.23076923076923075,0.6525198938992043
T3,Stream,6,13,46.15384615384615,0.3170731707317073,0.4615384615384615,1.4556213017751478
T3,Upland,4,13,30.76923076923077,0.32926829268292684,0.3076923076923077,0.9344729344729344
T4,Major River,3,13,23.076923076923077,0.35365853658536583,0.23076923076923075,0.6525198938992043
T4,Stream,4,13,30.76923076923077,0.3170731707317073,0.3076923076923077,0.970414201183432
T4,Upland,6,13,46.15384615384615,0.32926829268292684,0.4615384615384615,1.4017094017094016
