Plot_ID,Zone,Habitat,Amphimas tetracoides,Annonidium manni,Anthonotha macrophylla,Blighia sapida,Celtis zenkeri,Cleistopholis patens,Diospyros dendo,Drypetes species,Funtumia elastica,Homalium aylmeri,Irvinga gabonensis,Lecaniodiscus cupanioides,Lonchocarpus cilliata,Margaritaria discoidea,Millettia thoningii,Monodora tenuifolia,Nesodogornia papaverifera,Picralima nitida,Pycnanthus angolensis,Ricinodendron heudelotii,Scotellia coricea,Sterculia rhinopetala,Strombosia pustulata,Trichilia gilgiana,Trichilia monadelpha,Uapaca heudelotii,Alstonia boonei,Bombax buonopozense,Bosqueia angolensis,Dialium guinensis,Ficus exasperata,Grewia pubescens,Homalium alymeri,Musanga cecropiodes,Nesodogornia papaverivera,Pavetta corymbosa,Ricinodendron heudeloti,Sterculia tragacantha,Strombosia postulata,Baphia nitida,Cola species,Diospyrous mespiliformis,Garcinia kola,Hildegardia barteri,Lecaniodiscus cupaniodes,Maesobotrya barteri,Nauclea diderrichi,Nesogordonia papaverifera,Pterocarpus osun,Rinorea dentata,Scotellia coriaceae,Terminalia superba,Zanthoxylum xanthoxyloides,Diallium guineense,Dillenia indica,Margartaria discoidea,Musanga cecropioides,Pavetta corymbosia,Pycanthus angolensis,Ricinodendron heudeotii,Afzelia africana,Albizia zygia,Anthocleista djalonensis,Anthocleista vogelii,Brachystegia eurycoma,Bridelia ferruginea,Cassia saimen,Ceiba pentandra,Diospyrous melistoformis,Drypetes,Funtumia africana,Gmelina arborea,Harungana madagascariensis,Hexalobus crispiflorus,Holarrhena floribunda,Macaranga barteri,Melacantha alnifolia,Musanga cecropoides,Nothospondia staudtii,Nuclea diderrichi,Rauvolvia vomitoria,Rothmania hispida,Spondia mombin,Sterculia oblonga,Albizia auxilary,Blighia unijigata,Cleistoformis patens,Dialium guineense,Diospyros soubreana,Diospyros undebunda,Milicia excelsa,Musanga cecropoidies,Myrianthus arboreus,Piptadeniastrum africanum,Ricinidendron heudeloti,Scotellia coriacea,Strombosia putulata,Zanthoxylum zanthoxyloides,Albizia ferruginea,Aningeria robusta,Artocarpus communis,Bambusa vulgaris,Chrysophylum albidum,Cola nitida,Corynante pachycercus,Diospyrous dendo,Elaeis guineensis,Lonchocarpus cyanescens,Mitragyna cilliata,Pterocarpus santoxyloides,Tetrapleura tetraptera,Uapaca heudeloti,Elaeis guinensis,Ficus mucosa,Macranga bateri,Nauclea diderrichii,Termialia superba,Theobroma cacao,Carica papaya,Chrysophyllum albidum,Citrus sinenses,Dracena manni,Elaeis guineense,Ficus mucuso,Musa sapiensis,Raulvolfia vomitoria,Trema orientalis,Community_Plot_ID_Raw,Zone_Key_25,Habitat_Key_25,Recovered_Plot_Number_25,Comparable_Plot_Key_25,Plot_Total_Abundance
CsP1,Core,Stream,0,0,0,2,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,3,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CsP1,core,stream,1,core||stream||plot01,24
CsP2,Core,Stream,0,0,0,0,1,2,1,4,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CsP2,core,stream,2,core||stream||plot02,17
CsP3,Core,Stream,0,0,0,1,0,1,6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CsP3,core,stream,3,core||stream||plot03,24
CsP4,Core,Stream,0,0,0,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CsP4,core,stream,4,core||stream||plot04,21
CsP5,Core,Stream,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CsP5,core,stream,5,core||stream||plot05,6
CsP6,Core,Stream,0,0,0,1,3,1,3,2,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0,1,0,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CsP6,core,stream,6,core||stream||plot06,25
CsP7,Core,Stream,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CsP7,core,stream,7,core||stream||plot07,19
CsP8,Core,Stream,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CsP8,core,stream,8,core||stream||plot08,17
CsP9,Core,Stream,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CsP9,core,stream,9,core||stream||plot09,12
CsP10,Core,Stream,0,0,0,1,2,3,0,2,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CsP10,core,stream,10,core||stream||plot10,18
