Typology_ID,Zone,N_Plots,Cluster_Total,Percent_of_Cluster,Overall_Proportion,Cluster_Proportion,Enrichment_Ratio
T1,Buffer,8,26,30.76923076923077,0.32926829268292684,0.3076923076923077,0.9344729344729344
T1,Core,17,26,65.38461538461539,0.32926829268292684,0.6538461538461539,1.9857549857549857
T1,Transition,1,26,3.8461538461538463,0.34146341463414637,0.038461538461538464,0.11263736263736264
T2,Buffer,16,30,53.333333333333336,0.32926829268292684,0.5333333333333333,1.619753086419753
T2,Core,10,30,33.333333333333336,0.32926829268292684,0.33333333333333337,1.0123456790123457
T2,Transition,4,30,13.333333333333334,0.34146341463414637,0.13333333333333333,0.3904761904761904
T3,Buffer,3,13,23.076923076923077,0.32926829268292684,0.23076923076923075,0.7008547008547008
T3,Transition,10,13,76.92307692307692,0.34146341463414637,0.7692307692307692,2.2527472527472523
T4,Transition,13,13,100.0,0.34146341463414637,1.0,2.9285714285714284
