Plot_ID,Zone,Habitat,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Structural_Coverage_Percent,Use_Primary_Association,Use_Factorial_Structural,Z_Richness,Z_Pielou,Z_CWM_WD,Z_CWM_SLA,Z_CWM_Log10_Seed_Mass,Z_CWM_Max_Height_m,Z_FDis,Z_FEve,Z_Estimated_Mean_DBH,Z_Estimated_Mean_Height
CmP1,Core,Major River,12,0.923,0.6200000000000001,15.376254737931967,2.3716478540927537,25.19846108,1.549648755865329,0.7697257542664879,27.361904761904764,26.82952380952381,77.77777777777777,False,True,0.7395898075370808,0.34313548765447605,0.7790828712109068,0.32713582720612044,0.44036502855454235,0.031185399595552717,-0.270631451552211,0.03173819606103838,-0.160748042222773,-0.21284261113844952
CmP2,Core,Major River,15,0.867,0.6736363636363637,13.297145443271011,2.5964430827197376,28.267052380909085,1.3721195030879645,0.6958913847091963,26.48888888888889,26.692222222222224,81.81818181818181,False,True,1.6412814906987272,-0.6363532125001159,1.3413361187723485,-0.4496346207116719,1.0232987584569169,0.7119342122553369,-0.9053640692272749,-0.8329596690560966,-0.28782356781151885,-0.24317866675097424
CmP3,Core,Major River,12,0.94,0.6368181818181818,13.503277749936744,2.627693105159757,28.226097846818185,1.6260822291125805,0.7872191061513764,27.5825,27.922000000000004,90.9090909090909,True,True,0.7395898075370808,0.6404802716299752,0.9553826183276293,-0.3726220824145066,1.1043355858475978,0.7028486913366158,0.002646432476661345,0.23660842274955218,-0.12863836737059894,0.028534193900585852
CmP4,Core,Major River,10,0.944,0.6514285714285714,11.214256528610726,2.245973054844591,28.12766154571429,1.4629370108766342,0.7221127461888238,23.11842105263158,24.054736842105264,90.47619047619048,True,True,0.13846201876264996,0.7104437502124461,1.1085387692977549,-1.2278171623214014,0.11446807812581011,0.6810111807240928,-0.5806579515165281,-0.525872936578411,-0.7784262991144046,-0.8259170366483546
CmP5,Core,Major River,7,0.871,0.7284615384615385,10.338381713408015,2.34015951886746,25.393196780384617,1.2468049033003985,0.8150730876406163,22.08863636363636,22.224545454545453,84.61538461538461,False,True,-0.7632296643989964,-0.566389733917645,1.9160513027204193,-1.5550504031481514,0.3587102140221781,0.07438636180255152,-1.3534100262269122,0.5628152891882101,-0.9283209741622329,-1.230288091679391
CmP6,Core,Major River,13,0.865,0.6904545454545455,10.900978752891293,2.512535536275062,23.48750858909091,1.4337041640080512,0.7747690508937245,21.857142857142858,21.92142857142857,95.45454545454544,True,True,1.0401537019242963,-0.6713349517913514,1.517635865889072,-1.344860031973887,0.805711671245582,-0.34837928090087156,-0.6851761710477027,0.09080185236191676,-0.9620169926623556,-1.2972601551787812
CmP7,Core,Major River,16,0.938,0.6136666666666666,13.6672969376112,2.4021761023744457,25.86664642766667,1.610010364672139,0.804205026000928,24.66481481481481,25.582222222222224,90.0,True,True,1.9418453850859427,0.6054985323387398,0.712692515990373,-0.3113433135666307,0.5195301680769756,0.1794183630162576,-0.0548164161953455,0.4355359509322262,-0.5533344008219445,-0.4884272643213644
CmP8,Core,Major River,11,0.893,0.6404166666666667,12.69955534296875,2.3007868231407635,23.669227017500003,1.5797608250239128,0.7495100519613326,26.307894736842105,27.13684210526316,79.16666666666667,False,True,0.4390259131498654,-0.18159060171405536,0.9931044110665684,-0.672898655495722,0.2566098602181411,-0.3080661234135115,-0.16296968774920642,-0.20501434520021583,-0.3141689387386022,-0.14494226786115402
CmP9,Core,Major River,13,0.873,0.6306666666666667,12.80698807907898,2.3727907046165715,22.903203852,1.624104638859433,0.7193996588076528,28.11458333333333,28.80625,80.0,False,True,1.0401537019242963,-0.5314079946264096,0.8908982063191703,-0.6327609990657913,0.4433286418066522,-0.4780038274764566,-0.004424182751146947,-0.5576467687441271,-0.05118872260438605,0.22390452939753744
CmP10,Core,Major River,13,0.881,0.6696875,12.250228786484378,2.3163835951790874,22.1469700221875,1.3742064055878451,0.7430578264842743,24.54,26.2408,78.125,False,True,1.0401537019242963,-0.39148103746146795,1.299941414635144,-0.8407703452803811,0.29705504472792404,-0.6457698253744198,-0.8979026223622726,-0.2805784169017759,-0.5715023502076321,-0.3429180063114332
