Plot_ID,Zone,Habitat,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Structural_Coverage_Percent,Use_Primary_Association,Use_Factorial_Structural,Z_Richness,Z_Pielou,Z_CWM_WD,Z_CWM_SLA,Z_CWM_Log10_Seed_Mass,Z_CWM_Max_Height_m,Z_FDis,Z_Estimated_Mean_DBH,Z_Estimated_Mean_Height
CmP3,Core,Major River,12,0.94,0.6368181818181818,13.503277749936744,2.627693105159757,28.226097846818185,1.6260822291125805,0.7872191061513764,27.5825,27.922000000000004,90.9090909090909,True,True,0.8982525884612736,0.6534752908517615,1.18411463192622,-0.43977004046538365,0.7672430276538365,0.555613055639479,0.11457231938017866,-0.00722317902915669,0.33898314431265336
CmP4,Core,Major River,10,0.944,0.6514285714285714,11.214256528610726,2.245973054844591,28.12766154571429,1.4629370108766342,0.7221127461888238,23.11842105263158,24.054736842105264,90.47619047619048,True,True,0.34390241958231615,0.7159037131533892,1.3367230984999732,-1.192952232650416,-0.09821514666872419,0.5374677191080771,-0.39253270632879933,-0.5871723387786262,-0.5989470328869072
CmP6,Core,Major River,13,0.865,0.6904545454545455,10.900978752891293,2.512535536275062,23.48750858909091,1.4337041640080512,0.7747690508937245,21.857142857142858,21.92142857142857,95.45454545454544,True,True,1.1754276729007525,-0.5170576273037572,1.7443572692147578,-1.2960335145891329,0.506151006828403,-0.317878692844607,-0.48339729753857796,-0.7510308274631101,-1.1163398563497733
CmP7,Core,Major River,16,0.938,0.6136666666666666,13.6672969376112,2.4021761023744457,25.86664642766667,1.610010364672139,0.804205026000928,24.66481481481481,25.582222222222224,90.0,True,True,2.0069529262191885,0.6222610797009476,0.942292386226534,-0.38580097710235794,0.2559376001602445,0.12068163755611565,0.06461606985974067,-0.3862731670584064,-0.22848488052002308
CsP9,Core,Stream,6,0.951,0.4708333333333334,14.4402455437028,1.6823481823161013,32.76639843916667,1.6651187370902774,0.8373609114562419,46.635,43.75333333333333,100.0,True,True,-0.7647979181755988,0.8251534521812378,-0.5496305916601989,-0.13146907307344416,-1.3760986447415833,1.3925530998913724,0.23590967511554317,2.4679752877543324,4.178568058084583
CuP1,Core,Upland,8,0.791,0.69,9.959098939206354,2.059142228254354,27.532171741684213,1.5257145471226057,0.7048680075942797,22.14444444444445,22.55,94.73684210526316,True,True,-0.21044774929664134,-1.6719834398838689,1.739609450254684,-1.6059507387007974,-0.5218089975928731,0.42769761627030656,-0.19740100417912881,-0.7137061483714758,-0.9638919656033041
CuP2,Core,Upland,10,0.838,0.6658260739031261,12.283038708262067,2.0646057532462634,23.903072420600004,1.6637583632724262,0.740965867482842,22.78,23.8155,100.0,True,True,0.34390241958231615,-0.9384494778397444,1.487107915998008,-0.8412789071529053,-0.5094217720306858,-0.2412753921471074,0.23168121897484564,-0.6311381842372765,-0.6569693201083968
CuP3,Core,Upland,7,0.844,0.6322222222222221,11.601087468630718,2.0595425295658525,29.604312904,1.7126218268341509,0.7453182491652542,23.183333333333334,24.3,100.0,True,True,-0.4876228337361201,-0.8448068443873028,1.1361089068854873,-1.065668932393167,-0.5209014108891036,0.8096674618367857,0.38356374555838285,-0.5787392839213422,-0.5394631788659765
CuP4,Core,Upland,10,0.831,0.6173076923076923,13.206751433861257,2.118398201717434,27.793747959461538,1.8046892903272356,0.7268947005519822,21.307692307692307,22.46153846153846,100.0,True,True,0.34390241958231615,-1.047699216867593,0.9803236334861916,-0.5373394027332044,-0.38746036547695223,0.47591548353018287,0.6697374621186776,-0.8224124916842542,-0.9853466075702466
CuP5,Core,Upland,13,0.873,0.6655172413793102,12.467382827338394,2.190893398673336,30.581091507793104,1.652878151064698,0.7638610951771807,22.26206896551724,23.158620689655173,100.0,True,True,1.1754276729007525,-0.3922007827005016,1.4838820979914762,-0.7806221048354963,-0.22309498631280522,0.9897227492026924,0.19786220576086525,-0.6984250023688244,-0.816282742235544
CuP6,Core,Upland,12,0.82,0.6885714285714285,9.77391059520689,2.149636157607469,24.781626246666665,1.595432956136453,0.8151852102725584,22.145,23.3505,95.23809523809524,True,True,0.8982525884612736,-1.2193773781970694,1.724687733523028,-1.6668853257640976,-0.3166358325454572,-0.07932644997683441,0.01930504444207651,-0.7136339735776529,-0.7697461120128867
CuP7,Core,Upland,10,0.853,0.6502608591225009,12.277401086536704,2.209144160424087,27.1642038524,1.785621373419769,0.796234603853356,21.196,22.148000000000003,100.0,True,True,0.34390241958231615,-0.7043428942086404,1.3245261079212962,-0.8431339167309113,-0.18171578463932836,0.359867952732213,0.6104685690543818,-0.8369229563871281,-1.0613893211852496
CuP8,Core,Upland,11,0.82,0.6104166666666666,10.004522421318043,2.376390841879881,24.566744004583335,1.7460953380476807,0.7978924330681779,23.666666666666668,24.05458333333333,100.0,True,True,0.6210775040217948,-1.2193773781970694,0.9083454806620169,-1.5910045435695261,0.19747573929222817,-0.11893694481967564,0.4876096130870135,-0.5159472132948091,-0.5989842634822361
CuP9,Core,Upland,14,0.876,0.6696,12.947918987766622,2.01343068912421,23.348121628720005,1.669960070235498,0.7765074705500125,20.791666666666668,21.738333333333333,96.0,True,True,1.4526027573402311,-0.3453794659742808,1.5265273353266373,-0.6225059303922353,-0.6254488906725918,-0.34357270283539076,0.250958013005056,-0.8894517713319451,-1.1607460790709982
CuP10,Core,Upland,13,0.889,0.6372400642635879,13.084687646165843,2.1624199916747195,26.42574409191304,1.7907681573185472,0.8247789215583404,22.78695652173913,23.544347826086955,100.0,True,True,1.1754276729007525,-0.14248709349399064,1.1885212791673057,-0.5775034127241566,-0.28765157121689877,0.2237433653730062,0.6264663409138909,-0.6302344302972249,-0.7227320562198839
BmP1,Buffer,Major River,10,0.893,0.54,10.493065249566962,2.3493239389796328,21.626548692380958,1.6922096019465238,0.7247879056998263,27.904761904761905,26.45714285714286,100.0,True,True,0.34390241958231615,-0.08005867119236287,0.17282919343080996,-1.4302538458789045,0.13610806329702183,-0.6609202661114112,0.3201163338699362,0.034643356730948045,-0.01628973562241315
BsP1,Buffer,Stream,7,0.768,0.5485185185185185,12.926785118750628,1.8531747457943168,21.269943194000003,1.4615722971983691,0.42640420655001,29.06296296296296,29.17407407407407,100.0,True,True,-0.4876228337361201,-2.0309468681182286,0.2618068376454988,-0.629459843115507,-0.98879060149998,-0.7266554339763754,-0.3967746520774092,0.18511061737843607,0.6426495901209499
BsP2,Buffer,Stream,7,0.77,0.5675000000000001,11.880617518478736,1.496132097017028,19.9259936604,1.2376536979554675,0.6817208475770298,29.06,28.855,100.0,True,True,-0.4876228337361201,-1.9997326569674145,0.46007224051518786,-0.9736920412378466,-1.798298718013519,-0.9743934766995972,-1.0927818550686095,0.18472568514471044,0.5652643203274677
BsP3,Buffer,Stream,8,0.878,0.541111111111111,12.414858938674309,2.7474583171693,30.47159690055556,1.670383487840285,0.7693542619485259,28.427777777777777,29.77777777777778,100.0,True,True,-0.21044774929664134,-0.31416525482346697,0.18443497311098514,-0.79790462595742,1.0387817682768494,0.969538970714288,0.25227412387660253,0.10259076977345243,0.7890662932705476
BsP4,Buffer,Stream,13,0.845,0.5199033743906257,14.565950450277777,2.2388629136331826,22.52169870388889,1.3718923212641478,0.6903569542590597,34.56666666666667,34.044444444444444,100.0,True,True,1.1754276729007525,-0.8291997388118959,-0.037084114792848316,-0.09010698511180028,-0.11433567747898782,-0.4959120524468588,-0.6755273301726578,0.9001222415242456,1.8238640971253652
