Plot_ID,Zone,Habitat,Structural_Coverage_Percent,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Reference_Cluster,Within_Cluster_Consensus,Maximum_External_Consensus,Consensus_Margin,Confidence_Class,Typology_ID,Z_Richness,Z_Pielou,Z_CWM_WD,Z_CWM_SLA,Z_CWM_Log10_Seed_Mass,Z_CWM_Max_Height_m,Z_FDis,Z_FEve,Z_Estimated_Mean_DBH,Z_Estimated_Mean_Height,Silhouette
CmP1,Core,Major River,77.77777777777777,12,0.923,0.6200000000000001,15.376254737931967,2.3716478540927537,25.19846108,1.549648755865329,0.7697257542664879,27.361904761904764,26.82952380952381,2,0.7013448275862069,0.711,-0.0096551724137931,LOW_CONFIDENCE,T2,0.7466543995428822,0.33020597482433844,0.7695035842353323,0.2935338530845123,0.38654263884839035,0.013046434307400346,-0.23602148386212402,0.01636798742321203,-0.13152177420227876,-0.16588109937484685,0.10001001747462936
CmP2,Core,Major River,81.81818181818181,15,0.867,0.6736363636363637,13.297145443271011,2.5964430827197376,28.267052380909085,1.3721195030879645,0.6958913847091963,26.48888888888889,26.692222222222224,1,0.92804,0.624,0.30404,HIGH_CONFIDENCE,T1,1.6514671201712021,-0.6337519631243951,1.3237486802043286,-0.4748273514046575,0.9653061543797944,0.6822034320077202,-0.8587823401638744,-0.8819445677591515,-0.2582091936771898,-0.197062661888115,0.14926410533454745
CmP3,Core,Major River,90.9090909090909,12,0.94,0.6368181818181818,13.503277749936744,2.627693105159757,28.226097846818185,1.6260822291125805,0.7872191061513764,27.5825,27.922000000000004,2,0.6984827586206896,0.726,-0.02751724137931033,LOW_CONFIDENCE,T2,0.7466543995428822,0.622836063130202,0.9432923007679829,-0.3986485435658702,1.045763257309825,0.6732726196618847,0.03210207608587604,0.22920244005877918,-0.09951016670859596,0.08222320369315572,0.0936939155654256
CmP4,Core,Major River,90.47619047619048,10,0.944,0.6514285714285714,11.214256528610726,2.245973054844591,28.12766154571429,1.4629370108766342,0.7221127461888238,23.11842105263158,24.054736842105264,1,0.93624,0.61,0.32624,HIGH_CONFIDENCE,T1,0.1434459191240022,0.6916902015551116,1.0942670545125635,-1.2445853623929632,0.0629771029122814,0.6518069589556534,-0.5402005400782824,-0.5629199946184931,-0.7473135568356156,-0.7960427383332898,0.2097988684765999
CmP5,Core,Major River,84.61538461538461,7,0.871,0.7284615384615385,10.338381713408015,2.34015951886746,25.393196780384617,1.2468049033003985,0.8150730876406163,22.08863636363636,22.224545454545453,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE,T1,-0.7613668015043178,-0.5648978246994855,1.8902782176745936,-1.5682760070931154,0.30547196975753077,0.05551176899561182,-1.298377653330011,0.5680904326512521,-0.8967504329520776,-1.2116841615973166,0.3321062355332102
CmP6,Core,Major River,95.45454545454544,13,0.865,0.6904545454545455,10.900978752891293,2.512535536275062,23.48750858909091,1.4337041640080512,0.7747690508937245,21.857142857142858,21.92142857142857,1,0.9366800000000001,0.608,0.3286800000000001,HIGH_CONFIDENCE,T1,1.0482586397523221,-0.6681790323368498,1.4975373967369805,-1.3603611370045257,0.7492756502781351,-0.36005500532890117,-0.6427474300313837,0.07772771334651774,-0.9303435391822632,-1.2805228270890365,0.3495671434255653
CmP7,Core,Major River,90.0,16,0.938,0.6136666666666666,13.6672969376112,2.4021761023744457,25.86664642766667,1.610010364672139,0.804205026000928,24.66481481481481,25.582222222222224,2,0.6193793103448276,0.716,-0.09662068965517234,LOW_CONFIDENCE,T2,1.9530713603806422,0.5884089939177473,0.7040588243158272,-0.3380331728758792,0.4651414436648672,0.15875528156233146,-0.024276959508032055,0.43586317480418335,-0.5229091201255274,-0.4491466695820875,0.04851682118907403
CmP8,Core,Major River,79.16666666666667,11,0.893,0.6404166666666667,12.69955534296875,2.3007868231407635,23.669227017500003,1.5797608250239128,0.7495100519613326,26.307894736842105,27.13684210526316,1,0.92332,0.633,0.29032,MODERATE_CONFIDENCE,T1,0.4450501593334422,-0.18620006336248307,0.9804768234495194,-0.695674350856856,0.20410202550242496,-0.3204283017189991,-0.13039034036976402,-0.2295881885614542,-0.28447410222191694,-0.09608828169227315,0.16490877497994386
CmP9,Core,Major River,80.0,13,0.873,0.6306666666666667,12.80698807907898,2.3727907046165715,22.903203852,1.624104638859433,0.7193996588076528,28.11458333333333,28.80625,1,0.8735199999999999,0.693,0.1805199999999999,MODERATE_CONFIDENCE,T1,1.0482586397523221,-0.5304707554870307,0.8797263377839682,-0.6559712209005809,0.38948505088681157,-0.4874723005216482,0.025164820505756712,-0.5959290183621258,-0.022297063798171857,0.28303877468720423,0.07204730486056604
CmP10,Core,Major River,78.125,13,0.881,0.6696875,12.250228786484378,2.3163835951790874,22.1469700221875,1.3742064055878451,0.7430578264842743,24.54,26.2408,1,0.9343600000000001,0.614,0.3203600000000001,HIGH_CONFIDENCE,T1,1.0482586397523221,-0.39276247863721164,1.2829435592616951,-0.8617286775995024,0.2442578716517265,-0.6523815730490231,-0.8514616244648466,-0.30808977514859864,-0.5410215820977279,-0.2995818717438783,0.23673561452356234
