Plot_ID,Zone,Habitat,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Structural_Coverage_Percent,Use_Primary_Association,Use_Factorial_Structural,Z_Richness,Z_Pielou,Z_CWM_WD,Z_CWM_SLA,Z_CWM_Log10_Seed_Mass,Z_CWM_Max_Height_m,Z_FDis,Z_FEve,Z_Estimated_Mean_DBH,Z_Estimated_Mean_Height
CmP3,Core,Major River,12,0.94,0.6368181818181818,13.503277749936744,2.627693105159757,28.226097846818185,1.6260822291125805,0.7872191061513764,27.5825,27.922000000000004,90.9090909090909,True,True,0.8851073864145518,0.6884144755538091,1.1656355371053746,-0.43861656599607524,0.8443870564470977,0.5346593839898478,0.08641814000978293,0.2759319597594507,-0.012138434952342967,0.33146228044624865
CmP4,Core,Major River,10,0.944,0.6514285714285714,11.214256528610726,2.245973054844591,28.12766154571429,1.4629370108766342,0.7221127461888238,23.11842105263158,24.054736842105264,90.47619047619048,True,True,0.31649294423308205,0.751538986287982,1.3173524740520393,-1.1848336610939223,-0.05806817104450076,0.5157956904568849,-0.4280172462643254,-0.432235060995487,-0.5869820632016173,-0.598093621241447
CmP6,Core,Major River,13,0.865,0.6904545454545455,10.900978752891293,2.512535536275062,23.48750858909091,1.4337041640080512,0.7747690508937245,21.857142857142858,21.92142857142857,95.45454545454544,True,True,1.1694146075052867,-0.49517010071193046,1.722605270074024,-1.2869616927513337,0.5721337390239966,-0.3734130906352694,-0.5201953133467591,0.14051172515999205,-0.7493980380700377,-1.1108669216770484
CmP7,Core,Major River,16,0.938,0.6136666666666666,13.6672969376112,2.4021761023744457,25.86664642766667,1.610010364672139,0.804205026000928,24.66481481481481,25.582222222222224,90.0,True,True,2.0223362707774912,0.6568522201867226,0.9252260026488494,-0.3851465847541196,0.3112240803765278,0.08250943546819131,0.035739757394815934,0.4606891518610802,-0.38785148969787525,-0.23093912674297865
CsP9,Core,Stream,6,0.951,0.4708333333333334,14.4402455437028,1.6823481823161013,32.76639843916667,1.6651187370902774,0.8373609114562419,46.635,43.75333333333333,100.0,True,True,-0.8207359401298573,0.8620068800727845,-0.5579812495250056,-0.13316663012378496,-1.3905792931028222,1.404733106398364,0.20950946488855354,0.8213283372937573,2.4412698394859116,4.136765599808742
CuP1,Core,Upland,8,0.791,0.69,9.959098939206354,2.059142228254354,27.532171741684213,1.5257145471226057,0.7048680075942797,22.14444444444445,22.55,94.73684210526316,True,True,-0.2521214979483876,-1.6629735492941269,1.7178851875912373,-1.594012938913272,-0.49977003075484594,0.4016798913131178,-0.2300648547861575,-0.6198074450332386,-0.7124019435131569,-0.9597801563846354
CuP2,Core,Upland,10,0.838,0.6658260739031261,12.283038708262067,2.0646057532462634,23.903072420600004,1.6637583632724262,0.740965867482842,22.78,23.8155,100.0,True,True,0.31649294423308205,-0.9212605481675974,1.4668587523492433,-0.8364124555754535,-0.48685326967455006,-0.29377713648967874,0.20521988510172015,-0.2271681712723392,-0.6305608592005894,-0.6555978585794452
CuP3,Core,Upland,7,0.844,0.6322222222222221,11.601087468630718,2.0595425295658525,29.604312904,1.7126218268341509,0.7453182491652542,23.183333333333334,24.3,100.0,True,True,-0.5364287190391225,-0.826573782066338,1.1179102586683234,-1.0587274207208126,-0.49882364606576507,0.7987715679061519,0.35929792075528433,-0.17982697187192648,-0.5786232480022291,-0.5391408666500774
CuP4,Core,Upland,10,0.831,0.6173076923076923,13.206751433861257,2.118398201717434,27.793747959461538,1.8046892903272356,0.7268947005519822,21.307692307692307,22.46153846153846,100.0,True,True,0.31649294423308205,-1.0317284419523998,0.9630350736135193,-0.5352836497873448,-0.3596781939029238,0.45180665910435247,0.6496083672241764,-0.3802213656100936,-0.8201513000785209,-0.981043241360229
CuP5,Core,Upland,13,0.873,0.6655172413793102,12.467382827338394,2.190893398673336,30.581091507793104,1.652878151064698,0.7638610951771807,22.26206896551724,23.158620689655173,100.0,True,True,1.1694146075052867,-0.36892107924358475,1.4636517793805326,-0.7763165806425771,-0.18828643859200928,0.9859550766816493,0.17091200755343583,0.02186502909597271,-0.6972553237374413,-0.8134888566050306
