Plot_ID,Zone,Habitat,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CmP1,Core,Major River,-0.04974335545964211,0.585749063453242,-0.04505335530192067,0.9024084739391598,0.16079613644386995,-0.3758033315783153,-0.4509854204099683,-0.2167027641289826,0.276296803533744,0.2515728152138218
CmP2,Core,Major River,-0.9549956016154032,2.069830732348934,0.15545465808913397,0.6223639225647896,0.8245148674205572,-1.2524222423356763,-0.3076513651920831,-0.5951415074167896,-0.050740905905103106,0.04534920343670058
CmP3,Core,Major River,0.30156350392038,0.9596316102724093,-0.28916266985817884,1.2422328967539062,0.8333451882379682,-0.5166682859205602,0.37742483662687054,-0.10687414669490505,0.01933661453105721,0.2036427368485312
CmP4,Core,Major River,-0.6717599001292748,1.4417839239275894,-0.720986775285134,0.44971636687946526,0.5645996852714574,-0.21286491837579588,0.5166230046647543,0.8496651584523656,1.0107416117980565,-0.1112869444013954
CmP5,Core,Major River,-1.6563519584079929,1.8520989271128339,-0.5885840393576419,0.340201975463083,1.1518773854610385,1.651103167181863,0.29344062273387994,0.30721070259441396,0.8056108182851606,0.3639056643572517
CmP6,Core,Major River,-1.535979822480852,2.301657689418847,-0.6092885892558793,1.0286020304714858,0.2390962070828627,0.47949864356540045,-0.17025609334255684,-0.11806973460493758,-0.10015865165805074,-0.27372741543004203
CmP7,Core,Major River,0.25060106395404796,1.4030535813357006,-0.7642181978715681,1.4166541419424603,0.11886617685592624,-0.6487900630075969,-0.7439153415977615,0.07536638789871915,-0.2687041781338919,-0.30520144075802436
CmP8,Core,Major River,-0.43232353863374007,1.2571536309387676,0.04165768166482968,0.39200887817667457,-0.13608304044504574,0.13074030064854375,0.14116747168973814,-0.011290302522763477,0.05662349514229854,0.17945146541208631
CmP9,Core,Major River,-0.34606926121440706,1.519056679632863,0.46585273908520025,0.3369499457816145,-0.40818865963310924,-0.3512495948353526,0.07987289792783403,-0.3493194001304324,-0.40893881137228144,0.060754682841227134
CmP10,Core,Major River,-0.9352364220409007,1.9661448232114687,0.2672131646344516,0.5947118813844477,-0.084079639454961,0.1300160101606436,-0.5003117290641482,0.13832371814816422,0.01797262179482587,0.08438863476621004
CsP1,Core,Stream,3.0914986150723873,0.34795373153058823,1.3808916848544854,-0.14969645066025264,-0.37887531841021704,0.4681013657395404,0.423669348023626,0.548634165896427,-0.7305933301786919,0.03717691305868534
CsP2,Core,Stream,1.4252786472385004,0.17617107182274086,1.5102064839464164,0.2062762257359211,0.09685005312037112,-0.05469357197082623,-0.008607190348461245,-0.1517103402236391,-0.017983528680602098,0.7641644435226551
CsP3,Core,Stream,1.770899335581412,1.4231950936296724,1.9613329065014702,-0.7654245397239123,-0.3123603603314715,-0.558199989014747,0.9356142975376204,-0.3853012143392043,-0.5647850577397184,0.16520815700994157
CsP4,Core,Stream,1.29979231029512,0.6301465490910356,0.6111177755979896,0.5177031120237987,-0.4727722551556611,-0.45779964355681346,-0.2926054057991751,0.06905442977708419,-0.12824658631560867,0.24460548051854009
CsP5,Core,Stream,3.4993979457726287,-2.133102721679398,-0.2487072298683049,-1.1061266403579355,-0.28444492309055214,1.5387082417959395,-0.2926418682766688,0.2478290747764752,0.024532562728194082,0.8481024807869223
CsP6,Core,Stream,3.08477456851346,0.6450875274373181,1.545689040952841,0.6937379713229109,0.02391176176733768,-0.3816192625748495,-0.3801910217326817,-0.23623253601705155,-1.0403569907667194,0.18233895986838233
CsP7,Core,Stream,1.1252614798627283,0.5393571986764935,1.8069083255702858,-0.04557659386879377,0.5092483261322995,0.013265289094173759,0.3775367573261546,-0.08449706529512761,0.15549015285256465,0.7476299669133611
CsP8,Core,Stream,0.3892904173098985,1.1842610631861596,1.4703025414487196,-0.8958518263460492,-0.806617917340405,0.7057058706086888,1.3615902122878203,0.612527080259993,0.3972832697426689,0.09402853835763605
CsP9,Core,Stream,3.9111985115902144,-1.014537703262063,1.5998468789508091,-2.2507109417321214,1.5236474892700669,-0.12090431766426292,0.7788529303053773,0.20536043371779358,-0.013254205582366962,0.6097987119689056
CsP10,Core,Stream,1.4126786100927275,0.2522326410394592,1.7134857207375518,0.6333596517566824,0.528327370635677,-0.7645182775141475,0.6072511523568132,0.011960247260516355,0.1445594026027567,0.8568270011726692
CuP1,Core,Upland,-2.075531233848931,2.075661843856302,-0.944795430228539,-1.2354959157867587,0.2654193520438279,0.6633179246797865,0.781610250409009,-0.4581804901148356,0.37164408561270507,0.15612285299840895
CuP2,Core,Upland,-1.2339344723605323,1.5048036222464714,-0.7723893401187026,-0.3270841009711475,-0.5405256517339792,0.5376340455229008,0.14848133943606143,-0.40916853191984726,0.16611684312318623,0.2688514821346728
CuP3,Core,Upland,-1.0204106176828363,0.9557293199152898,-1.296569253042924,-0.9641483800910163,0.37676353301074156,0.41153117168311015,0.9900784360682406,-0.25886507137198966,0.37437287542833847,0.30990291523376284
CuP4,Core,Upland,-1.3252477942999126,0.941283583969933,-1.5142584906961307,-0.5026518219547308,-0.31480114509762613,-0.1308730558109067,0.38245774333634486,-0.6862803450243506,0.029673288745106045,0.13252976895429386
