Typology_ID,Variable,N,Mean,SD,Median,Q1,Q3,Minimum,Maximum
T1,Richness,26,10.115384615384615,2.6126909205173594,10.0,8.0,12.75,5.0,15.0
T1,Pielou,26,0.8539230769230769,0.04210170835196413,0.859,0.83275,0.8775,0.768,0.944
T1,CWM_WD,26,0.6279069426900317,0.06250319804827234,0.6388283654651273,0.6070159313725491,0.6696656249999999,0.4611111111111111,0.7284615384615385
T1,CWM_SLA,26,11.965423772998546,1.1418609832921585,12.280219897399386,11.246041828438548,12.828165592000527,9.77391059520689,13.847719242169044
T1,CWM_Log10_Seed_Mass,26,2.2059879073237885,0.26598775531471947,2.227558607634339,2.060808335485955,2.356419178688631,1.496132097017028,2.7474583171693
T1,CWM_Max_Height_m,26,25.498143362999055,4.4661451702914245,24.674185125625,22.336028479640625,27.728353905017208,19.9259936604,41.24330894777778
T1,FDis,26,1.54126057929548,0.19706329308404524,1.587596890580183,1.4165494371022305,1.6702776334390883,1.0027869076632236,1.8046892903272356
T1,FEve,26,0.7455301581407187,0.08057111165701429,0.7441880378247643,0.7227815360665745,0.7913028205275201,0.42640420655001,0.8804636071436512
T1,Estimated_Mean_DBH,26,24.549189554207036,2.6968773023251633,23.425,22.17426724137931,26.830972222222222,20.791666666666668,29.06296296296296
T1,Estimated_Mean_Height,26,25.245102912256755,2.6031270181889656,24.17777777777778,23.20659051724138,27.057988721804513,21.738333333333333,29.77777777777778
T2,Richness,30,11.733333333333333,2.50424926231717,12.0,10.0,13.75,6.0,16.0
T2,Pielou,30,0.9423333333333334,0.028751411759440938,0.9455,0.934,0.96175,0.845,0.977
T2,CWM_WD,30,0.5728034335120028,0.04950791936947794,0.5671555555555556,0.552742914979757,0.6055115089514066,0.4529166666666667,0.6646666666666667
T2,CWM_SLA,30,14.446193134078724,1.3405602538681949,14.460460096887498,13.86778428046397,15.163225662263013,11.672870203691277,19.12077266090363
T2,CWM_Log10_Seed_Mass,30,2.2087392768857037,0.2751871545658459,2.224765202815202,2.0439558883095583,2.345526948565147,1.6823481823161013,2.9177814188008777
T2,CWM_Max_Height_m,30,25.12982078256347,2.7689094973575106,24.70296170931111,23.327524133176468,26.804006982958335,20.196206499142857,32.76639843916667
T2,FDis,30,1.6328315291058995,0.14402794650475245,1.640026544671671,1.5519863764481108,1.7535313457441863,1.3121914361187996,1.8390226503426368
T2,FEve,30,0.7898839055549595,0.053374064825397124,0.780933513028226,0.7587684341339791,0.8350681955407949,0.6903569542590597,0.9328925339061472
T2,Estimated_Mean_DBH,30,33.469357683276286,7.815702065798521,30.593162393162398,28.511011904761908,35.84134615384615,24.66481481481481,60.93076923076923
T2,Estimated_Mean_Height,30,31.19398549699069,4.131727405661711,29.875694444444445,28.41958041958042,32.25151654411765,25.582222222222224,43.75333333333333
T3,Richness,13,7.3076923076923075,1.9741924671712983,7.0,7.0,8.0,5.0,12.0
T3,Pielou,13,0.9336153846153846,0.04860476393238709,0.935,0.921,0.963,0.821,1.0
T3,CWM_WD,13,0.4357795733678086,0.034088583905265354,0.4285714285714285,0.4175,0.465,0.3686666666666666,0.4742857142857143
T3,CWM_SLA,13,16.507847607068268,2.3535825724178303,16.0992270452098,15.12998959602362,16.76091873229167,14.186070633511733,23.138102740162505
T3,CWM_Log10_Seed_Mass,13,1.8374404848640336,0.3950633650843207,1.857808459358576,1.5042409010164042,2.1782195402115723,1.3221971321881052,2.542324117783896
T3,CWM_Max_Height_m,13,28.928084991076933,4.576253322671935,27.4457362834,25.62509144071428,33.17777586458823,22.68814516666667,35.98837681716667
T3,FDis,13,1.9466249735569154,0.3620884924700109,1.959219209608106,1.79619465045184,2.0604414160492137,1.3943505685635922,2.924414402508278
T3,FEve,13,0.8349049310876863,0.0646410364621651,0.8344909759474685,0.8033516727161705,0.8847929762892732,0.740609470032363,0.9694333572848978
T3,Estimated_Mean_DBH,13,27.926829367114845,5.791891772685585,26.34117647058824,24.315384615384616,31.64,19.585714285714285,40.825
T3,Estimated_Mean_Height,13,27.143212515567843,3.7583701430677654,26.829411764705885,24.04230769230769,30.489473684210523,22.085714285714285,34.225
T4,Richness,13,5.461538461538462,2.1838568563966754,5.0,4.0,6.0,3.0,10.0
T4,Pielou,13,0.884923076923077,0.06539426776415695,0.884,0.845,0.936,0.761,0.985
T4,CWM_WD,13,0.42760216809658486,0.057560847747472645,0.4157142857142856,0.38625,0.4609999999999999,0.3566666666666667,0.5389999999999999
T4,CWM_SLA,13,18.202586804670624,1.930026188460617,18.55092468211849,17.19161443907483,19.43329723333501,14.027696440190926,21.52819481355348
T4,CWM_Log10_Seed_Mass,13,2.6661095460043853,0.39616658775852887,2.641398468480353,2.4400750203809807,2.855053310580858,1.9949130445923131,3.541148496372573
T4,CWM_Max_Height_m,13,20.650498088209773,4.823133323079987,21.315288953,19.16703243125,24.01412413307693,12.592917716666667,28.358493492636363
T4,FDis,13,1.4018840322319206,0.3247976743798433,1.5315754549363598,1.060409863605516,1.6714786505929893,0.8766009122519117,1.7859883176606266
T4,FEve,13,0.6979330790692497,0.09249163837040682,0.6536842703753618,0.6211304822764273,0.755327155532082,0.5818535306507242,0.8473649978786075
T4,Estimated_Mean_DBH,13,24.045138599338348,2.678459728670783,23.59166666666667,22.044444444444444,25.16538461538461,20.15,29.48709677419355
T4,Estimated_Mean_Height,13,24.220127353346957,2.1166205935795483,24.075000000000003,23.51,25.25,20.637500000000003,28.38636363636364
