Zone,Habitat,Variable,N,Mean,SD,Median,Reference_Mean,Reference_SD,Standardized_Cell_Mean,Relative_Profile
Buffer,Major River,Richness,10,10.3,2.6267851073127395,10.0,9.455555555555556,3.402448262982431,0.24818729901986622,NEAR_AVERAGE
Buffer,Major River,Pielou,10,0.9319000000000001,0.030005369889775077,0.929,0.9043555555555555,0.05759590167830805,0.47823618767684767,NEAR_AVERAGE
Buffer,Major River,CWM_WD,10,0.5679268263102342,0.047234444831566746,0.5700555555555555,0.5447764842800867,0.09524364367614438,0.24306443072322192,NEAR_AVERAGE
Buffer,Major River,CWM_SLA,10,13.834928715965106,1.943280788478959,13.918476661179948,14.499146391525384,2.6615652533832566,-0.24955904226505676,NEAR_AVERAGE
Buffer,Major River,CWM_Log10_Seed_Mass,10,2.076960647171263,0.2909930820459363,2.182720839601382,2.2138487488002556,0.4000449141090909,-0.3421818320921429,NEAR_AVERAGE
Buffer,Major River,CWM_Max_Height_m,10,22.715243375260687,2.2718204964527953,23.003334598805626,24.927614751117996,4.64953537438431,-0.4758263348303421,NEAR_AVERAGE
Buffer,Major River,FDis,10,1.717780167185083,0.12748559660715705,1.688706580040766,1.619373419856024,0.28382128710717003,0.34672081270599336,NEAR_AVERAGE
Buffer,Major River,FEve,10,0.765690544215935,0.08620956195358467,0.7626301879893365,0.7670157097624055,0.08538747756395784,-0.015519436623221044,NEAR_AVERAGE
Buffer,Major River,Estimated_Mean_DBH,10,29.780446886446885,1.7698057762875834,29.856818181818184,28.434281973481543,6.838080051514652,0.196862994118819,NEAR_AVERAGE
Buffer,Major River,Estimated_Mean_Height,10,28.497407620157624,1.31632144649618,28.502797202797204,27.767747892853237,4.506818726139017,0.16190128151204458,NEAR_AVERAGE
Buffer,Stream,Richness,10,10.9,3.212821536005731,11.5,9.455555555555556,3.402448262982431,0.42453090621819195,NEAR_AVERAGE
Buffer,Stream,Pielou,10,0.8855999999999999,0.07753737450058805,0.8885000000000001,0.9043555555555555,0.05759590167830805,-0.3256404537307435,NEAR_AVERAGE
